日付,都道府県名,,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2021-01-20, 北海道,,1623,708,２／３,1811,0.390944229707344,1811,13,２／３,182,0.07142857142857142,182,425,２／２,1835,0.23160762942779292,1835,395,95,0
2021-01-20, 青森県,,94,41,１／４,212,0.19339622641509435,225,3,１／４,31,0.0967741935483871,30,29,１／４,290,0.1,100,17,0,7
2021-01-20, 岩手県,,67,66,２／３,374,0.17647058823529413,350,1,２／３,59,0.01694915254237288,45,1,２／３,381,0.0026246719160104987,300,0,0,0
2021-01-20, 宮城県 ,,474,129,４／５,345,0.3739130434782609,450,10,４／５,43,0.23255813953488372,65,198,４／５,500,0.396,500,147,0,0
2021-01-20, 秋田県 ,,52,32,３／４,229,0.13973799126637554,235,0,３／４,24,0,27,20,３／４,58,0.3448275862068966,69,0,0,0
2021-01-20, 山形県 ,,39,38,３／４,216,0.17592592592592593,215,1,３／４,26,0.038461538461538464,26,0,３／４,134,0,134,1,0,0
2021-01-20, 福島県 ,,322,280,４／４,469,0.5970149253731343,350,8,４／４,42,0.19047619047619047,50,42,４／４,160,0.2625,160,0,0,0
2021-01-20, 茨城県 ,,765,279,３／３,500,0.558,500,12,３／３,70,0.17142857142857143,70,203,４／４,324,0.6265432098765432,324,218,65,0
2021-01-20, 栃木県,,1153,207,４／４,337,0.6142433234421365,337,20,４／４,46,0.43478260869565216,46,90,４／４,284,0.31690140845070425,284,0,122,734
2021-01-20, 群馬県,,531,219,３／３,335,0.6537313432835821,330,12,３／３,71,0.16901408450704225,50,129,３／３,1300,0.09923076923076923,1300,0,0,183
2021-01-20, 埼玉県 ,,6588,886,４／４,1272,0.6965408805031447,1400,82,４／４,128,0.640625,200,276,２／３,1359,0.20309050772626933,1450,5004,0,422
2021-01-20, 千葉県 ,,6020,661,４／４,1163,0.5683576956147893,1200,45,４／４,93,0.4838709677419355,180,280,４／４,858,0.32634032634032634,1400,4893,0,186
2021-01-20, 東京都 ,,19533,2957,４／４,4000,0.73925,4000,注8    535,４／４,注8    500,注8    107%,500,876,４／４,2630,0.33307984790874523,3000,9058,223,6419
2021-01-20, 神奈川県,,6441,938,２／３,1939,0.48375451263537905,1939,111,２／３,200,0.555,200,416,２／２,1286,0.3234836702954899,1000,5087,0,0
2021-01-20, 新潟県,,148,104,２／３,456,0.22807017543859648,456,2,２／３,112,0.017857142857142856,112,30,１／３,176,0.17045454545454544,176,14,0,0
2021-01-20, 富山県 ,,112,75,２／４,500,0.15,500,3,２／４,36,0.08333333333333333,36,29,２／４,377,0.07692307692307693,100,8,0,0
2021-01-20, 石川県,,173,140,２／２,258,0.5426356589147286,254,7,２／２,35,0.2,35,33,２／２,340,0.09705882352941177,340,0,0,0
2021-01-20, 福井県 ,,71,71,３／４,255,0.2784313725490196,255,4,３／４,24,0.16666666666666666,24,0,１／４,75,0,75,0,0,0
2021-01-20, 山梨県 ,,132,91,３／４,285,0.3192982456140351,250,5,３／４,24,0.20833333333333334,24,41,３／４,139,0.2949640287769784,100,0,0,0
2021-01-20, 長野県 ,,422,235,４／４,350,0.6714285714285714,350,4,４／４,48,0.08333333333333333,48,101,３／４,250,0.404,250,79,0,7
2021-01-20, 岐阜県 ,,655,404,３／３,625,0.6464,625,15,３／３,51,0.29411764705882354,51,113,３／３,603,0.18739635157545606,603,0,0,138
2021-01-20, 静岡県,,897,173,４／４,467,0.37044967880085655,450,6,４／４,40,0.15,67,107,４／４,592,0.18074324324324326,450,0,0,617
2021-01-20, 愛知県,,3389,697,４／４,1102,0.632486388384755,839,54,４／４,125,0.432,121,233,４／４,1300,0.17923076923076922,1300,2213,0,246
2021-01-20, 三重県 ,,326,183,３／３,357,0.5126050420168067,357,6,３／３,53,0.11320754716981132,53,19,３／３,100,0.19,100,124,0,0
2021-01-20, 滋賀県,,338,167,３／３,347,0.4812680115273775,347,20,３／３,42,0.47619047619047616,62,122,３／３,260,0.46923076923076923,420,49,0,0
2021-01-20, 京都府 ,,1670,278,３／３,720,0.3861111111111111,720,37,３／３,86,0.43023255813953487,86,137,３／３,826,0.16585956416464892,826,1255,0,0
2021-01-20, 大阪府 ,,6355,1198,４／４,1602,0.7478152309612984,1615,256,４／４,397,0.6448362720403022,215,1040,３／３,2206,0.471441523118767,1036,2718,0,1399
2021-01-20, 兵庫県 ,,1946,598,６／６,756,0.791005291005291,750,69,６／６,116,0.5948275862068966,120,417,６／６,988,0.42206477732793524,1000,0,0,931
2021-01-20, 奈良県 ,,395,235,３／３,370,0.6351351351351351,500,14,３／３,28,0.5,25,105,３／３,250,0.42,250,0,0,55
2021-01-20, 和歌山県 ,,144,144,３／４,400,0.36,400,3,３／４,40,0.075,40,0,２／４,137,0,137,0,0,0
2021-01-20, 鳥取県,,46,46,２／３,313,0.14696485623003194,300,2,２／３,47,0.0425531914893617,40,0,１／３,340,0,150,0,0,0
2021-01-20, 島根県,,16,16,２／５,253,0.06324110671936758,253,0,２／５,25,0,25,0,２／５,98,0,98,0,0,0
2021-01-20, 岡山県,,387,147,３／４,401,0.36658354114713215,250,21,３／４,37,0.5675675675675675,40,58,３／４,207,0.28019323671497587,180,175,7,0
2021-01-20, 広島県,,518,210,３／３,479,0.4384133611691023,500,14,３／３,33,0.42424242424242425,70,129,３／３,1038,0.12427745664739884,1400,88,91,0
2021-01-20, 山口県,,299,177,３／３,423,0.41843971631205673,423,2,３／３,137,0.014598540145985401,137,122,１／３,834,0.14628297362110312,834,0,0,0
2021-01-20, 徳島県,,82,73,２／４,200,0.365,200,0,２／４,25,0,25,9,２／４,180,0.05,180,0,0,0
2021-01-20, 香川県,,182,61,３／３,199,0.3065326633165829,199,1,３／３,26,0.038461538461538464,26,39,３／３,101,0.38613861386138615,101,0,0,82
2021-01-20, 愛媛県 ,,210,68,３／３,229,0.29694323144104806,223,4,３／３,33,0.12121212121212122,33,32,３／３,192,0.16666666666666666,117,110,0,0
2021-01-20, 高知県 ,,73,22,４／４,200,0.11,200,4,４／４,58,0.06896551724137931,57,41,４／４,203,0.2019704433497537,190,10,0,0
2021-01-20, 福岡県,,3840,507,３／３,641,0.7909516380655226,760,27,３／３,110,0.24545454545454545,110,569,３／３,1057,0.5383159886471145,1200,2764,0,0
2021-01-20, 佐賀県 ,,242,117,２／４,273,0.42857142857142855,273,2,２／４,46,0.043478260869565216,46,92,１／４,253,0.36363636363636365,253,3,0,30
2021-01-20, 長崎県,,397,187,４／４,395,0.47341772151898737,395,6,４／４,27,0.2222222222222222,42,75,４／４,384,0.1953125,384,91,0,44
2021-01-20, 熊本県,,704,268,３／３,433,0.6189376443418014,420,19,３／３,59,0.3220338983050847,59,81,３／３,140,0.5785714285714286,140,355,0,0
2021-01-20, 大分県,,130,84,２／４,359,0.233983286908078,359,5,２／４,41,0.12195121951219512,41,46,１／２,700,0.06571428571428571,170,0,0,0
2021-01-20, 宮崎県,,368,95,３／３,246,0.3861788617886179,246,8,３／３,33,0.24242424242424243,33,69,３／３,250,0.276,250,204,0,0
2021-01-20, 鹿児島県 ,,165,92,３／４,345,0.26666666666666666,300,2,３／４,38,0.05263157894736842,48,69,３／４,370,0.1864864864864865,370,4,0,0
2021-01-20, 沖縄県,,776,320,５／５,469,0.6823027718550106,425,30,５／５,53,0.5660377358490566,51,146,５／５,370,0.3945945945945946,340,310,0,0
2021-01-20,合計,,69310,14724,,27910,,27736,1505,,3600,,3673,7089,,26735,,25376,35394,603,11500
