日付,都道府県名,,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2021-02-03, 北海道,,1330,641,２／３,1827,0.35084838533114393,1827,12,２／３,161,0.07453416149068323,161,360,２／２,1835,0.19618528610354224,1835,207,122,0
2021-02-03, 青森県,,55,38,１／４,209,0.18181818181818182,225,1,１／４,31,0.03225806451612903,30,14,１／４,190,0.07368421052631578,100,2,0,1
2021-02-03, 岩手県,,22,21,２／３,385,0.05454545454545454,350,2,２／３,60,0.03333333333333333,45,1,２／３,381,0.0026246719160104987,300,0,0,0
2021-02-03, 宮城県 ,,207,74,４／５,345,0.2144927536231884,450,8,４／５,43,0.18604651162790697,65,100,４／５,500,0.2,500,33,0,0
2021-02-03, 秋田県 ,,45,41,３／４,229,0.17903930131004367,235,0,３／４,24,0,27,4,３／４,58,0.06896551724137931,69,0,0,0
2021-02-03, 山形県 ,,60,55,３／４,216,0.25462962962962965,215,2,３／４,26,0.07692307692307693,26,2,３／４,134,0.014925373134328358,134,1,0,2
2021-02-03, 福島県 ,,202,186,４／４,469,0.39658848614072495,350,11,４／４,42,0.2619047619047619,50,12,４／４,220,0.05454545454545454,160,0,0,4
2021-02-03, 茨城県 ,,608,260,３／３,600,0.43333333333333335,600,15,３／３,70,0.21428571428571427,70,101,４／４,324,0.3117283950617284,324,247,0,0
2021-02-03, 栃木県,,403,150,３／４,377,0.3978779840848806,377,13,３／４,46,0.2826086956521739,46,62,３／４,284,0.21830985915492956,284,0,79,112
2021-02-03, 群馬県,,367,197,３／３,341,0.5777126099706745,330,13,３／３,71,0.18309859154929578,50,118,３／３,1300,0.09076923076923077,1300,0,0,52
2021-02-03, 埼玉県 ,,3892,970,４／４,1321,0.7342922028766087,1400,71,４／４,141,0.5035460992907801,200,298,３／３,1347,0.2212323682256867,1450,2377,0,247
2021-02-03, 千葉県 ,,5468,728,４／４,1093,0.6660567246111619,1200,46,４／４,88,0.5227272727272727,180,290,４／４,968,0.29958677685950413,1400,4234,0,216
2021-02-03, 東京都 ,,9854,2924,４／４,4900,0.5967346938775511,4000,注8　537,４／４,注8　500,注8 107%,500,607,４／４,3060,0.19836601307189541,3000,3123,173,3027
2021-02-03, 神奈川県,,2644,879,２／３,1555,0.5652733118971061,1555,104,２／３,190,0.5473684210526316,190,237,２／２,1535,0.1543973941368078,1000,1528,0,0
