日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者,重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,確保病床使用率（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注７),確保居室数（注８）,確保居室使用率（注９）,（４）①-1自宅療養者等数,（４）①-2うち、社会福祉施設等療養者数,（５）①-1療養先調整中の人数（注10）,（５）①-2うち、入院先調整中の人数(注11)
2021-06-09, 北海道,5531,1028,1028,３／３,1981,1981,52,19,39,39,３／３,145,145,27,379,２／２,2395,2395,16,1943,170,2181,105
2021-06-09, 青森県,131,75,75,２／４,247,261,29,57,4,4,２／４,31,31,13,23,４／４,310,310,7,20,1,13,0
2021-06-09, 岩手県,93,59,59,２／３,250,350,17,63,0,0,２／３,30,45,0,26,２／３,85,381,7,0,0,8,8
2021-06-09, 宮城県 ,163,64,63,５／５,351,358,18,39,8,8,５／５,45,45,18,70,５／５,1000,1000,7,22,0,7,0
2021-06-09, 秋田県 ,18,18,18,４／６,132,230,8,100,1,1,４／６,12,22,5,0,４／６,300,300,0,0,0,0,0
2021-06-09, 山形県 ,70,54,54,４／４,237,237,23,77,4,4,４／４,26,26,15,4,４／４,134,134,3,12,0,0,0
2021-06-09, 福島県 ,148,129,125,４／４,496,496,25,87,6,5,４／４,45,49,10,7,４／４,277,277,3,1,0,11,8
2021-06-09, 茨城県 ,290,137,137,３／４,500,600,23,47,9,9,３／４,60,70,13,64,４／６,300,630,10,89,0,0,0
2021-06-09, 栃木県,240,136,136,２／３,371,448,30,57,9,9,２／３,27,46,20,52,２／３,557,638,8,32,0,20,0
2021-06-09, 群馬県,198,126,126,３／４,408,459,27,64,13,13,３／４,29,76,17,53,３／４,971,1300,4,0,0,19,0
2021-06-09, 埼玉県 ,1188,493,493,４／４,1646,1646,30,41,40,40,４／４,163,163,25,238,３／４,887,1986,12,252,0,205,0
2021-06-09, 千葉県 ,918,345,345,２／３,1266,1266,27,38,21,21,２／３,101,101,21,233,２／３,1012,1012,23,212,0,128,0
2021-06-09, 東京都 ,3739,1626,1592,４／４,5594,6044,26,43,424,424,４／４,1207,1207,35,767,４／４,2830,2830,27,835,0,511,45
2021-06-09, 神奈川県,1863,542,542,３／４,1498,1790,30,29,60,60,３／４,164,199,30,342,１／１,1423,1657,21,949,5,30,0
2021-06-09, 新潟県,175,119,119,２／３,555,555,21,68,5,5,２／３,112,112,4,18,２／３,300,300,6,35,0,3,3
2021-06-09, 富山県 ,105,80,80,３／４,438,500,16,76,8,8,３／４,36,36,22,23,３／４,250,250,9,2,0,0,0
2021-06-09, 石川県,186,125,125,３／３,435,435,29,67,5,5,３／３,39,39,13,39,３／３,560,560,7,21,7,1,0
2021-06-09, 福井県 ,21,21,21,１／４,95,304,7,100,0,0,１／４,7,24,0,0,１／４,70,146,0,0,0,0,0
2021-06-09, 山梨県 ,186,86,86,３／４,210,305,28,46,1,1,３／４,24,24,4,58,３／４,449,449,13,42,42,0,0
2021-06-09, 長野県 ,150,108,108,２／３,342,490,22,72,3,3,２／３,34,42,7,33,２／３,375,523,6,9,0,0,0
2021-06-09, 岐阜県 ,534,377,377,３／３,783,783,48,71,21,21,３／３,59,59,36,125,３／３,721,957,13,0,0,32,0
2021-06-09, 静岡県,421,141,135,４／５,574,589,23,33,6,6,４／５,49,50,12,79,４／５,476,726,11,171,7,30,1
2021-06-09, 愛知県,3343,878,853,４／４,1515,1515,56,26,92,92,４／４,146,146,63,304,４／４,1109,1300,23,1986,97,175,5
2021-06-09, 三重県 ,243,124,124,３／３,435,435,29,51,9,9,３／３,57,57,16,36,３／３,145,240,15,83,0,0,0
2021-06-09, 滋賀県,364,237,237,４／４,374,374,63,65,14,14,４／４,52,52,27,87,４／４,400,400,22,33,1,7,1
2021-06-09, 京都府 ,464,192,192,３／３,498,498,39,41,19,19,３／３,86,86,22,87,３／３,826,826,11,184,0,1,1
2021-06-09, 大阪府 ,6740,1067,1067,４／４,2683,2692,40,16,253,251,４／４,803,803,31,307,４／４,3986,3986,8,4450,0,916,0
2021-06-09, 兵庫県 ,921,452,452,６／６,1151,1151,39,49,66,66,６／６,136,136,49,141,６／６,1475,1475,10,221,0,107,37
2021-06-09, 奈良県 ,190,119,119,３／３,437,443,27,63,11,11,３／３,32,32,34,52,３／３,711,711,7,0,0,19,0
2021-06-09, 和歌山県 ,32,32,32,３／３,470,470,7,100,1,1,３／３,26,26,4,0,３／３,137,137,0,0,0,0,0
2021-06-09, 鳥取県,11,11,11,２／３,259,323,3,100,0,0,２／３,44,47,0,0,１／１,141,141,0,0,0,0,0
2021-06-09, 島根県,27,27,27,１／５,201,324,8,100,2,2,１／５,8,25,8,0,１／５,98,98,0,0,0,0,0
2021-06-09, 岡山県,269,181,166,４／４,492,492,34,67,7,7,４／４,58,58,12,57,４／４,404,404,14,31,0,0,0
2021-06-09, 広島県,742,320,320,４／４,705,705,45,43,20,20,４／４,56,56,36,148,４／４,1748,1748,8,206,14,68,0
2021-06-09, 山口県,222,170,170,４／４,527,527,32,77,3,3,４／４,47,47,6,18,４／４,483,1044,2,18,8,16,0
2021-06-09, 徳島県,19,19,19,３／４,234,234,8,100,0,0,３／４,25,25,0,0,３／４,276,276,0,0,0,0,0
2021-06-09, 香川県,78,57,53,３／３,230,230,23,73,5,5,３／３,28,28,18,16,３／３,201,201,8,1,0,4,0
2021-06-09, 愛媛県 ,35,26,26,３／３,218,218,12,74,4,4,３／３,19,19,21,4,３／３,233,233,2,5,0,0,0
2021-06-09, 高知県 ,172,88,88,５／５,226,226,39,51,12,12,５／５,24,58,21,58,５／５,97,221,26,0,0,26,4
2021-06-09, 福岡県,2111,799,753,４／４,1301,1368,55,38,54,54,４／４,185,187,29,255,４／４,2106,2106,12,1003,5,54,0
2021-06-09, 佐賀県 ,61,49,49,３／５,321,365,13,80,1,1,３／５,27,48,2,12,１／４,472,472,3,0,0,0,0
2021-06-09, 長崎県,158,78,78,４／４,351,421,19,49,1,1,４／４,38,38,3,60,４／４,406,406,15,20,0,0,0
2021-06-09, 熊本県,226,181,181,２／２,598,598,30,80,13,13,２／２,56,56,23,19,２／２,520,520,4,22,0,4,2
2021-06-09, 大分県,129,99,99,３／４,438,438,23,77,3,3,３／４,43,43,7,19,３／４,340,1014,2,5,0,6,6
2021-06-09, 宮崎県,34,28,28,２／３,245,285,10,82,3,3,２／３,21,33,9,4,２／３,150,300,1,1,0,1,0
2021-06-09, 鹿児島県 ,230,142,142,４／４,419,419,34,62,2,2,４／４,41,41,5,79,４／４,762,762,10,0,0,9,0
2021-06-09, 沖縄県,2497,623,623,５／５,702,702,89,25,80,80,５／５,98,98,82,169,５／５,413,700,24,1199,0,506,0
2021-06-09,合計,35686,11888,11753,,33439,35580,,,1362,1359,,4601,4856,,4565,,33321,38482,,14115,357,5118,226
