日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数（注15）,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注16）,（６）①-2うち、入院先調整中の人数(注17）
2022-12-28, 埼玉県 ,62054,1605,1327,0,４／４,1639,1706,0,78,3,25,25,0,１／４,66,146,0,17,745,0,４／４,1712,1986,0,38,14,４／４,24,24,58,58324,0,1366,0
2022-12-28, 千葉県 ,53201,2450,1136,52,Ⅰ／Ⅰ,1732,1904,224,60,5,18,18,0,Ⅰ／Ⅰ,134,158,0,11,519,0,Ⅰ／Ⅰ,1758,1758,3,30,52,Ⅰ／Ⅰ,152,237,22,50232,0,0,0
2022-12-28, 東京都 ,121020,4130,3989,486,２／２,6046,7537,972,53,3,513,512,0,１／２,853,1114,0,46,3256,156,２／２,8134,8134,354,40,648,２／２,1276,1386,47,109253,1473,4375,444
2022-12-28, 神奈川県,74428,1873,1873,0,３／４,2200,2200,0,85,3,47,47,0,１／４,95,210,0,22,415,0,１／１,1551,1551,0,27,0,－,0,0,－,72033,1836,107,0
2022-12-28, 新潟県,18733,391,391,0,３／４,552,703,0,56,2,5,5,0,３／４,112,112,0,4,31,0,３／３,357,357,0,9,0,１／３,0,10,0,18311,734,0,0
2022-12-28, 富山県 ,8625,261,254,0,３／３,476,492,0,52,3,1,1,0,３／３,36,36,0,3,123,0,３／３,510,510,0,24,0,３／３,0,0,－,8241,0,0,0
2022-12-28, 石川県,9100,307,271,0,Ⅱ／Ⅱ,525,525,0,52,3,5,5,0,Ⅱ／Ⅱ,41,41,0,12,75,0,Ⅱ／Ⅱ,630,630,0,12,0,Ⅱ／Ⅱ,0,0,－,8718,0,0,0
2022-12-28, 福井県 ,5746,165,165,0,４／４,372,503,100,33,3,1,1,0,４／４,24,24,0,4,173,0,２／４,425,575,0,30,0,４／４,0,100,0,5408,0,0,0
2022-12-28, 山梨県 ,7559,179,179,0,４／５,393,444,0,40,2,0,0,0,４／５,24,24,0,0,194,105,４／５,969,969,639,20,105,４／５,639,639,16,7182,484,4,0
2022-12-28, 長野県 ,16940,582,326,0,３／３,557,557,0,59,3,3,3,0,３／３,37,43,0,7,146,0,３／３,735,735,0,20,0,－,0,0,－,16212,661,0,0
2022-12-28, 岐阜県 ,24088,442,428,0,６／６,873,873,0,49,2,2,2,0,６／６,59,59,0,3,426,0,３／３,1932,1932,4,22,0,３／３,4,4,0,22987,1460,233,26
2022-12-28, 静岡県,33427,890,448,0,３／３,851,851,0,53,3,9,9,0,３／３,52,52,0,17,126,0,３／３,773,773,0,16,0,３／３,0,50,0,32411,0,0,0
2022-12-28, 愛知県,74272,2092,1224,0,２／２,1690,1690,0,72,3,31,31,0,２／２,148,148,0,21,827,0,２／２,2679,2737,0,30,0,２／２,0,0,－,68720,0,2633,0
2022-12-28, 三重県 ,21062,695,299,0,Ⅰ／Ⅱ,564,564,0,53,3,2,2,0,Ⅰ／Ⅱ,50,50,0,4,105,0,３／３,468,468,0,22,0,１／２,0,10,0,20262,433,0,0
2022-12-28, 滋賀県,13380,772,402,15,Ⅰ／Ⅰ,501,501,30,80,6,5,5,0,Ⅰ／Ⅰ,52,52,0,10,82,0,Ⅰ／Ⅰ,518,518,0,16,15,Ⅰ／Ⅰ,30,30,50,12519,324,7,0
2022-12-28, 京都府 ,19711,597,597,0,２／２,1047,1047,110,57,3,82,82,0,２／２,175,175,0,47,190,0,１／１,1126,1126,0,17,0,２／２,110,110,0,18924,0,0,0
2022-12-28, 大阪府 ,84419,2654,2554,0,Ⅰ／Ⅰ,3788,4879,0,52,3,642,624,0,２／５,1252,1594,0,39,2586,71,５／７,6374,9090,188,28,71,Ⅰ／Ⅰ,196,226,31,79179,0,0,0
2022-12-28, 兵庫県 ,46850,972,972,0,４／５,1400,1712,0,57,2,22,22,0,４／５,120,142,0,15,413,0,４／５,1700,1812,0,23,0,－,0,0,－,45465,0,0,0
2022-12-28, 奈良県 ,12093,575,342,0,３／３,566,566,0,60,5,14,14,0,３／３,36,36,0,39,141,0,３／３,969,969,0,15,0,３／３,0,0,－,11377,0,0,0
2022-12-28, 和歌山県 ,10348,220,220,0,２／４,350,636,0,35,2,0,0,0,２／４,17,26,0,0,96,0,２／４,178,178,0,54,0,２／４,178,181,0,10032,0,0,0
2022-12-28, 鳥取県,8071,154,154,0,２／３,250,351,5,44,2,0,0,0,２／３,30,47,0,0,31,0,１／２,448,448,0,7,0,１／１,5,5,0,7886,0,0,0
2022-12-28, 島根県,7694,225,163,0,４／５,336,387,0,42,3,1,1,0,４／５,5,28,0,4,17,0,４／５,133,133,0,13,0,－,0,0,－,6961,215,491,0
2022-12-28, 岡山県,21623,590,423,0,４／４,560,606,0,70,3,14,13,0,２／４,27,67,0,19,187,0,２／３,373,629,0,30,0,２／４,0,0,－,20839,767,7,0
2022-12-28, 広島県,36434,619,482,3,Ⅱ／Ⅱ,860,886,39,54,2,13,13,0,Ⅱ／Ⅱ,52,52,0,25,391,0,Ⅱ／Ⅱ,1240,1695,0,23,3,Ⅱ／Ⅱ,19,39,8,35424,92,0,0
2022-12-28, 山口県,16175,954,399,0,４／４,680,680,0,59,6,5,5,0,４／４,47,47,0,11,109,0,４／４,594,594,0,18,0,４／４,0,0,－,15111,553,1,1
2022-12-28, 徳島県,7387,145,145,0,３／５,185,286,22,51,2,4,4,0,３／５,16,25,0,16,162,0,５／５,454,454,0,36,0,３／５,0,22,0,7080,0,0,0
2022-12-28, 香川県,11678,452,183,0,４／４,314,314,0,58,4,8,8,0,４／４,29,29,0,28,130,0,２／２,474,474,0,27,0,４／４,0,0,－,11096,399,0,0
2022-12-28, 愛媛県 ,17450,611,321,0,３／３,455,476,0,67,4,7,7,0,３／３,21,21,0,33,58,0,３／３,263,263,67,22,0,３／３,67,67,0,16781,669,0,0
2022-12-28, 高知県 ,6794,309,187,0,５／５,333,333,0,56,5,4,4,0,５／５,24,24,0,17,37,0,５／５,190,190,0,19,0,５／５,0,0,－,6448,209,0,0
2022-12-28, 福岡県,61990,3536,1499,0,５／５,2049,2049,0,73,6,13,13,0,５／５,231,231,0,6,565,0,３／３,2008,2008,19,28,0,１／２,19,222,0,57889,0,0,0
2022-12-28, 佐賀県 ,11960,598,290,0,４／５,505,584,50,50,5,1,1,0,１／５,13,48,0,2,112,0,２／４,390,390,0,29,0,４／５,50,50,0,11250,481,0,0
2022-12-28, 長崎県,13525,804,303,0,Ⅰ／Ⅱ,592,620,0,49,6,3,3,0,Ⅰ／Ⅱ,30,30,0,10,129,0,Ⅰ／Ⅱ,626,646,20,20,0,Ⅰ／Ⅱ,0,20,0,12592,940,0,0
2022-12-28, 熊本県,26747,1426,716,0,Ⅱ／Ⅱ,1086,1086,0,66,5,17,17,0,Ⅱ／Ⅱ,66,66,0,26,352,0,Ⅱ／Ⅱ,1226,1226,0,29,0,－,0,0,－,24969,0,0,0
2022-12-28, 大分県,14937,320,320,0,３／４,435,559,0,57,2,1,1,0,３／４,42,43,0,2,108,24,３／４,1150,1460,254,7,24,３／４,175,254,9,14509,359,0,0
2022-12-28, 宮崎県,15067,679,191,0,Ⅰ／Ⅰ,382,441,0,43,5,5,2,0,Ⅰ／Ⅰ,17,17,0,12,157,0,Ⅰ／Ⅰ,512,512,12,31,0,Ⅰ／Ⅰ,12,12,0,14231,627,0,0
2022-12-28, 鹿児島県 ,15420,772,406,0,Ⅰ／Ⅱ,659,659,0,62,5,6,6,0,Ⅰ／Ⅱ,29,29,0,21,908,0,Ⅰ／Ⅱ,1657,1657,47,55,0,１／４,0,59,0,13445,0,295,0
2022-12-28, 沖縄県,6804,240,240,0,４／５,514,670,25,36,4,10,10,0,４／５,40,49,0,20,249,16,４／５,1110,1117,75,22,16,４／５,100,100,16,6210,227,105,0
2022-12-28,合計,1186802,41067,28127,571,,43727,48322,1687,,,1615,1592,0,,4547,5585,0,,17255,372,,56917,63402,1682,,963,,3241,4056,,1112557,16430,15903,474
