日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数（注15）,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注16）,（６）①-2うち、入院先調整中の人数(注17）
2022-12-28, 北海道,33362,1991,1134,0,３／３,2408,2408,0,47,6,10,10,0,３／３,124,124,0,8,253,0,２／３,2085,2215,0,11,0,３／３,64,64,0,29987,0,1131,0
2022-12-28, 青森県,10062,505,308,0,３／５,478,502,0,61,5,2,2,0,１／５,31,31,0,6,57,0,３／５,660,660,0,9,0,－,0,0,－,9500,0,0,0
2022-12-28, 岩手県,10758,332,180,0,２／２,356,356,0,51,3,1,1,0,２／２,34,34,0,3,68,0,２／２,280,280,0,24,0,－,0,0,－,10358,0,0,0
2022-12-28, 宮城県 ,23048,540,408,0,Ⅰ／Ⅰ,612,612,0,67,2,18,18,0,Ⅰ／Ⅰ,55,55,0,33,777,0,Ⅰ／Ⅰ,2090,2090,0,37,0,－,0,0,－,20658,0,1073,0
2022-12-28, 秋田県 ,6907,428,165,0,６／６,298,298,0,55,6,3,3,0,６／６,16,16,0,19,75,0,６／６,415,415,0,18,0,－,0,0,－,6306,1460,98,0
2022-12-28, 山形県 ,6992,438,146,0,Ⅰ／Ⅱ,290,290,0,50,6,0,0,0,Ⅰ／Ⅱ,26,26,0,0,23,0,Ⅰ／Ⅱ,348,348,0,7,0,Ⅰ／Ⅱ,0,0,－,6531,0,0,0
2022-12-28, 福島県 ,16432,498,402,0,３／３,766,774,8,52,3,1,1,0,３／３,46,46,0,2,316,0,３／３,1224,1224,0,26,0,３／３,19,27,0,15618,874,0,0
2022-12-28, 茨城県 ,26408,587,587,0,Ⅰ／Ⅱ,800,803,0,73,2,21,21,0,１／７,30,75,0,28,923,0,４／５,1614,2689,0,34,0,－,0,0,－,24898,0,0,0
2022-12-28, 栃木県,17132,481,481,15,３／３,717,717,102,67,3,9,9,0,３／３,46,46,0,20,141,0,２／３,755,1050,0,13,15,３／３,102,102,15,16510,0,0,0
2022-12-28, 群馬県,18889,981,497,0,４／４,685,685,0,73,5,11,11,0,４／４,37,37,0,30,251,0,４／６,1100,1727,0,15,0,２／４,0,6,0,13680,1153,3977,3
