日付,都道府県名,,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2020-12-30, 北海道,,1591,817,２／３,1811,0.451131971286582,1811,22,２／３,182,0.12087912087912088,182,227,２／２,1835,0.12370572207084468,1835,357,190,0
2020-12-30, 青森県,,63,34,１／４,210,0.1619047619047619,225,2,１／４,31,0.06451612903225806,30,7,１／４,290,0.02413793103448276,100,0,0,22
2020-12-30, 岩手県,,68,56,２／３,374,0.1497326203208556,350,3,２／３,59,0.05084745762711865,45,12,２／３,381,0.031496062992125984,300,0,0,0
2020-12-30, 宮城県 ,,432,91,４／５,345,0.263768115942029,450,3,４／５,43,0.06976744186046512,65,145,４／５,300,0.48333333333333334,300,196,0,0
2020-12-30, 秋田県 ,,36,18,２／４,222,0.08108108108108109,235,0,２／４,24,0,27,18,２／４,58,0.3103448275862069,69,0,0,0
2020-12-30, 山形県 ,,85,78,３／４,216,0.3611111111111111,215,6,３／４,26,0.23076923076923078,26,0,３／４,108,0,108,7,0,0
2020-12-30, 福島県 ,,211,156,３／４,469,0.3326226012793177,350,7,３／４,42,0.16666666666666666,50,55,３／４,160,0.34375,160,0,0,0
2020-12-30, 茨城県 ,,262,119,３／３,545,0.21834862385321102,500,7,３／３,70,0.1,70,85,４／４,324,0.2623456790123457,324,58,0,0
2020-12-30, 栃木県,,382,158,４／４,317,0.49842271293375395,317,9,４／４,46,0.1956521739130435,46,38,４／４,284,0.13380281690140844,250,0,0,186
2020-12-30, 群馬県,,313,185,３／３,335,0.5522388059701493,330,10,３／３,71,0.14084507042253522,50,103,３／３,1300,0.07923076923076923,1300,0,0,25
