日付,都道府県名,,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2020-12-30, 埼玉県 ,,2942,782,４／４,1229,0.6362896663954435,1400,54,２／４,130,0.4153846153846154,200,269,２／３,1359,0.19793966151582046,1450,1647,0,244
2020-12-30, 千葉県 ,,1899,485,４／４,1145,0.42358078602620086,1200,16,４／４,94,0.1702127659574468,180,250,４／４,815,0.3067484662576687,1400,1075,0,89
2020-12-30, 東京都 ,,8235,2457,４／４,4000,0.61425,4000,379,４／４,500,0.758,500,1107,３／４,2360,0.4690677966101695,3000,3036,32,1603
2020-12-30, 神奈川県,,2974,550,２／３,1939,0.28365136668385765,1939,59,２／３,200,0.295,200,512,２／２,1201,0.42631140716069943,1000,1912,0,0
2020-12-30, 新潟県,,95,75,２／３,456,0.16447368421052633,456,0,２／３,112,0,112,18,１／３,176,0.10227272727272728,176,2,0,0
2020-12-30, 富山県 ,,50,29,２／４,500,0.058,500,2,２／４,36,0.05555555555555555,36,10,２／４,430,0.023255813953488372,100,11,0,0
2020-12-30, 石川県,,105,101,２／２,258,0.39147286821705424,254,7,２／２,35,0.2,35,4,２／２,340,0.011764705882352941,340,0,0,0
2020-12-30, 福井県 ,,17,17,２／４,215,0.07906976744186046,215,1,２／４,24,0.041666666666666664,24,0,１／４,75,0,75,0,0,0
2020-12-30, 山梨県 ,,61,56,２／４,285,0.19649122807017544,250,3,２／４,24,0.125,24,5,２／４,139,0.03597122302158273,100,0,0,0
2020-12-30, 長野県 ,,123,91,３／４,350,0.26,350,3,３／４,48,0.0625,48,20,３／４,250,0.08,250,12,0,0
2020-12-30, 岐阜県 ,,474,305,３／３,625,0.488,625,11,３／３,51,0.21568627450980393,51,83,３／３,466,0.1781115879828326,466,0,0,86
2020-12-30, 静岡県,,407,180,４／４,442,0.4072398190045249,450,9,４／４,38,0.23684210526315788,67,46,４／４,592,0.0777027027027027,450,0,0,181
2020-12-30, 愛知県,,2358,593,４／４,934,0.6349036402569593,839,39,４／４,103,0.3786407766990291,121,223,４／４,1300,0.17153846153846153,1300,1307,0,235
2020-12-30, 三重県 ,,147,145,２／３,349,0.4154727793696275,349,4,２／３,53,0.07547169811320754,53,1,２／３,100,0.01,100,1,0,0
2020-12-30, 滋賀県,,223,144,３／３,274,0.5255474452554745,280,7,３／３,44,0.1590909090909091,62,54,３／３,260,0.2076923076923077,420,21,0,4
2020-12-30, 京都府 ,,1029,265,３／３,720,0.3680555555555556,750,28,３／３,86,0.32558139534883723,86,66,３／３,338,0.1952662721893491,338,698,0,0
2020-12-30, 大阪府 ,,3349,1040,４／４,1576,0.6598984771573604,1615,259,４／４,397,0.6523929471032746,215,654,３／３,2019,0.32392273402674593,1036,952,0,703
2020-12-30, 兵庫県 ,,1162,509,６／６,756,0.6732804232804233,750,44,６／６,116,0.3793103448275862,120,306,６／６,988,0.3097165991902834,1000,0,0,347
2020-12-30, 奈良県 ,,340,248,３／３,370,0.6702702702702703,500,14,３／３,28,0.5,25,92,３／３,250,0.368,250,0,0,0
2020-12-30, 和歌山県 ,,27,27,２／４,400,0.0675,400,2,２／４,40,0.05,40,0,２／４,137,0,137,0,0,0
2020-12-30, 鳥取県,,43,43,１／３,313,0.13738019169329074,300,0,１／３,47,0,40,0,１／３,340,0,150,0,0,0
2020-12-30, 島根県,,32,32,２／５,253,0.12648221343873517,253,1,２／５,25,0.04,25,0,２／５,98,0,98,0,0,0
2020-12-30, 岡山県,,292,133,３／４,401,0.3316708229426434,250,8,３／４,37,0.21621621621621623,40,52,３／４,207,0.25120772946859904,180,98,9,0
2020-12-30, 広島県,,1402,305,３／３,553,0.5515370705244123,500,19,３／３,72,0.2638888888888889,70,185,３／３,934,0.1980728051391863,700,822,90,0
2020-12-30, 山口県,,116,96,１／３,423,0.22695035460992907,423,3,１／３,137,0.021897810218978103,137,20,１／３,834,0.023980815347721823,834,0,0,0
2020-12-30, 徳島県,,5,5,２／４,200,0.025,200,0,２／４,25,0,25,0,２／４,180,0,180,0,0,0
2020-12-30, 香川県,,95,37,２／３,199,0.18592964824120603,199,0,２／３,26,0,26,24,２／３,101,0.2376237623762376,101,0,0,34
2020-12-30, 愛媛県 ,,86,41,３／３,229,0.17903930131004367,223,3,３／３,33,0.09090909090909091,33,24,３／３,192,0.125,117,21,0,0
2020-12-30, 高知県 ,,158,86,４／４,200,0.43,200,9,４／４,58,0.15517241379310345,57,35,４／４,361,0.09695290858725762,190,34,3,0
2020-12-30, 福岡県,,1360,351,２／３,576,0.609375,760,16,２／３,105,0.1523809523809524,110,479,２／３,1057,0.4531693472090823,1200,530,0,0
2020-12-30, 佐賀県 ,,49,21,２／４,274,0.07664233576642336,274,0,２／４,46,0,46,28,１／４,253,0.11067193675889328,253,0,0,0
2020-12-30, 長崎県,,280,137,３／４,395,0.3468354430379747,395,5,３／４,27,0.18518518518518517,42,73,３／４,367,0.1989100817438692,550,52,0,18
2020-12-30, 熊本県,,343,179,３／３,420,0.4261904761904762,420,7,３／３,59,0.11864406779661017,59,41,３／３,1430,0.028671328671328673,140,123,0,0
2020-12-30, 大分県,,89,61,２／４,355,0.17183098591549295,355,3,２／４,41,0.07317073170731707,41,28,１／２,700,0.04,170,0,0,0
2020-12-30, 宮崎県,,76,28,２／３,246,0.11382113821138211,246,0,２／３,33,0,33,18,２／３,250,0.072,250,30,0,0
2020-12-30, 鹿児島県 ,,118,66,３／４,342,0.19298245614035087,300,2,３／４,38,0.05263157894736842,48,49,３／４,370,0.13243243243243244,370,3,0,0
2020-12-30, 沖縄県,,327,153,４／５,469,0.326226012793177,425,20,４／５,53,0.37735849056603776,51,96,４／５,370,0.2594594594594595,340,78,0,0
2020-12-30,合計,,34331,11585,,27515,,27628,1106,,3615,,3673,5562,,26679,,23957,13083,324,3777
