日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者,重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,確保病床使用率（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注７),確保居室数（注８）,確保居室使用率（注９）,（４）①-1自宅療養者等数,（４）①-2うち、社会福祉施設等療養者数,（５）①-1療養先調整中の人数（注10）,（５）①-2うち、入院先調整中の人数(注11)
2021-12-15, 北海道,41,25,25,１／３,1211,2028,1,61,1,1,１／３,87,134,1,2,１／３,1450,2500,0,8,0,6,0
2021-12-15, 青森県,3,3,3,１／５,362,396,1,100,0,0,１／５,31,31,0,0,１／５,700,700,0,0,0,0,0
2021-12-15, 岩手県,0,0,0,１／２,203,301,0,－,0,0,１／２,29,31,0,0,１／２,100,280,0,0,0,0,0
2021-12-15, 宮城県 ,2,1,1,５／５,510,510,0,50,0,0,５／５,55,55,0,1,５／５,1250,1250,0,0,0,0,0
2021-12-15, 秋田県 ,4,0,0,３／６,140,289,0,0,0,0,３／６,10,24,0,4,３／６,395,395,1,0,0,0,0
2021-12-15, 山形県 ,0,0,0,２／４,237,237,0,－,0,0,２／４,26,26,0,0,２／４,348,348,0,0,0,0,0
2021-12-15, 福島県 ,5,3,3,２／３,640,709,0,60,0,0,２／３,40,47,0,0,２／３,300,480,0,2,0,0,0
2021-12-15, 茨城県 ,14,7,7,１／４,300,607,1,50,1,1,１／４,30,72,1,7,３／５,1020,2600,0,0,0,0,0
2021-12-15, 栃木県,9,1,1,１／３,360,533,0,11,0,0,１／３,22,46,0,3,１／３,665,785,0,5,0,0,0
2021-12-15, 群馬県,100,46,46,１／４,219,558,8,46,2,2,１／４,14,37,5,37,３／６,531,1727,2,16,0,1,1
2021-12-15, 埼玉県 ,77,30,30,２／４,990,1715,2,39,3,3,２／４,124,198,2,14,４／４,1925,1986,1,26,0,7,0
2021-12-15, 千葉県 ,51,21,21,１／２,924,1457,1,41,0,0,１／２,78,124,0,6,１／２,1805,1805,0,21,0,3,0
2021-12-15, 東京都 ,189,80,78,１／３,4657,6891,1,42,12,12,１／３,1468,1468,1,39,１／３,2740,7966,0,34,0,36,2
2021-12-15, 神奈川県,120,35,35,１／４,979,2100,2,29,0,0,１／４,91,210,0,11,１／１,2076,2076,1,73,0,1,0
2021-12-15, 新潟県,75,16,16,１／４,351,653,2,21,0,0,１／４,39,112,0,0,１／３,300,300,0,59,0,0,0
2021-12-15, 富山県 ,0,0,0,１／３,111,481,0,－,0,0,１／３,12,36,0,0,１／３,625,625,0,0,0,0,0
2021-12-15, 石川県,1,1,1,１／３,153,303,0,100,0,0,１／３,32,37,0,0,１／３,560,560,0,0,0,0,0
2021-12-15, 福井県 ,0,0,0,１／５,38,425,0,－,0,0,１／５,2,24,0,0,１／５,187,316,0,0,0,0,0
2021-12-15, 山梨県 ,1,1,1,１／５,98,376,0,100,0,0,１／５,7,24,0,0,１／５,966,966,0,0,0,0,0
