日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者,重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,確保病床使用率（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注７),確保居室数（注８）,確保居室使用率（注９）,（４）①-1自宅療養者等数,（４）①-2うち、社会福祉施設等療養者数,（５）①-1療養先調整中の人数（注10）,（５）①-2うち、入院先調整中の人数(注11)
2021-12-15, 長野県 ,5,5,5,１／３,156,513,1,100,1,1,１／３,30,43,2,0,１／３,806,806,0,0,0,0,0
2021-12-15, 岐阜県 ,7,3,3,１／４,317,882,0,43,0,0,１／４,53,59,0,3,１／３,776,1621,0,0,0,1,0
2021-12-15, 静岡県,49,5,5,１／３,486,763,1,10,0,0,１／３,49,69,0,7,１／３,870,954,1,37,0,0,0
2021-12-15, 愛知県,56,10,10,１／２,1141,1666,1,18,0,0,１／２,134,172,0,12,１／２,1628,1628,1,24,0,10,0
2021-12-15, 三重県 ,1,1,1,３／３,455,455,0,100,0,0,３／３,50,50,0,0,１／２,230,375,0,0,0,0,0
2021-12-15, 滋賀県,6,5,5,４／４,441,483,1,83,0,0,４／４,52,52,0,1,４／４,677,677,0,1,0,0,0
2021-12-15, 京都府 ,18,17,17,１／２,689,875,2,94,0,0,１／２,154,171,0,1,１／１,1126,1126,0,0,0,0,0
2021-12-15, 大阪府 ,104,35,35,１／５,2044,3667,1,34,9,9,１／５,980,1373,1,20,３／７,2485,8514,0,43,0,6,0
2021-12-15, 兵庫県 ,60,34,34,１／５,300,1417,2,57,2,2,１／５,30,142,1,7,１／５,300,2411,0,19,0,0,0
2021-12-15, 奈良県 ,1,0,0,２／３,364,485,0,0,0,0,２／３,32,34,0,1,２／３,1136,1136,0,0,0,0,0
2021-12-15, 和歌山県 ,0,0,0,３／３,560,560,0,－,0,0,３／３,26,26,0,0,３／３,151,201,0,0,0,0,0
2021-12-15, 鳥取県,0,0,0,１／３,228,350,0,－,0,0,１／３,19,47,0,0,１／２,277,364,0,0,0,0,0
2021-12-15, 島根県,0,0,0,１／５,172,360,0,－,0,0,１／５,5,28,0,0,１／５,133,133,0,0,0,0,0
2021-12-15, 岡山県,9,4,4,２／４,401,557,1,44,1,1,２／４,37,68,1,4,１／３,256,507,1,1,0,0,0
2021-12-15, 広島県,1,1,1,３／４,439,573,0,100,0,0,３／４,37,46,0,0,３／４,1561,1561,0,0,0,0,0
2021-12-15, 山口県,2,2,2,２／４,221,549,0,100,0,0,２／４,10,47,0,0,２／４,830,930,0,0,0,0,0
2021-12-15, 徳島県,0,0,0,１／５,98,260,0,－,0,0,１／５,6,25,0,0,１／５,170,450,0,0,0,0,0
2021-12-15, 香川県,0,0,0,１／３,148,264,0,－,0,0,１／３,17,30,0,0,１／２,368,424,0,0,0,0,0
2021-12-15, 愛媛県 ,0,0,0,１／３,132,261,0,－,0,0,１／３,5,19,0,0,１／３,110,263,0,0,0,0,0
2021-12-15, 高知県 ,0,0,0,１／５,78,253,0,－,0,0,１／５,16,24,0,0,１／５,147,385,0,0,0,0,0
2021-12-15, 福岡県,41,14,14,１／５,335,1482,1,34,3,3,１／５,70,203,1,15,１／４,455,2234,1,12,0,0,0
2021-12-15, 佐賀県 ,0,0,0,１／５,248,468,0,－,0,0,１／５,3,48,0,0,１／４,515,515,0,0,0,0,0
2021-12-15, 長崎県,0,0,0,１／４,76,440,0,－,0,0,１／４,21,36,0,0,１／４,511,535,0,0,0,0,0
2021-12-15, 熊本県,0,0,0,１／２,558,669,0,－,0,0,１／２,49,53,0,0,１／２,1000,1000,0,0,0,0,0
2021-12-15, 大分県,0,0,0,１／４,361,506,0,－,0,0,１／４,34,43,0,0,１／４,444,1349,0,0,0,0,0
2021-12-15, 宮崎県,0,0,0,１／２,225,265,0,－,0,0,１／２,12,15,0,0,１／３,50,450,0,0,0,0,0
2021-12-15, 鹿児島県 ,0,0,0,１／４,45,549,0,－,0,0,１／４,1,33,0,0,１／４,0,1757,0,0,0,0,0
2021-12-15, 沖縄県,30,10,10,１／５,114,641,2,33,0,0,１／５,16,60,0,14,１／５,35,852,2,5,0,1,0
2021-12-15,合計,1082,416,414,,23315,40782,,,35,35,,4145,5752,,209,,34990,60823,,386,0,72,3
