日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2022-07-06, 北海道,5065,182,166,0,１／３,1435,2228,0,7,4,2,2,0,１／３,90,140,0,1,115,0,１／３,1085,2215,0,5,0,１／３,56,56,0,4370,21,398,0
2022-07-06, 青森県,1918,74,72,0,３／５,445,457,0,16,4,1,1,0,１／５,31,31,0,3,79,0,３／５,660,660,0,12,0,－,0,0,－,1365,85,400,0
2022-07-06, 岩手県,899,16,14,0,２／２,325,325,0,4,2,0,0,0,２／２,31,34,0,0,33,0,２／２,280,280,0,12,0,－,0,0,－,850,4,0,0
2022-07-06, 宮城県 ,1800,85,61,0,Ⅰ／Ⅰ,527,527,0,12,5,1,1,0,Ⅰ／Ⅰ,55,55,0,2,339,0,Ⅰ／Ⅰ,1950,1950,0,17,0,－,0,0,－,1016,0,360,0
2022-07-06, 秋田県 ,375,14,14,0,６／６,289,289,0,5,4,0,0,0,６／６,24,24,0,0,23,0,６／６,415,415,0,6,0,－,0,0,－,297,29,41,0
2022-07-06, 山形県 ,833,12,12,0,４／４,226,245,0,5,1,0,0,0,４／４,26,26,0,0,35,0,４／４,348,348,0,10,0,４／４,0,0,－,768,0,18,0
2022-07-06, 福島県 ,985,135,134,0,３／３,743,751,8,18,14,0,0,0,３／３,47,47,0,0,127,0,３／３,1547,1547,0,8,0,３／３,0,24,0,648,0,75,0
2022-07-06, 茨城県 ,1511,44,44,0,１／４,300,609,0,7,3,0,0,0,１／４,30,72,0,0,196,0,３／５,1041,2600,0,8,0,１／４,0,0,－,1271,17,0,0
2022-07-06, 栃木県,1112,31,31,0,１／３,363,548,0,6,3,0,0,0,１／３,22,46,0,0,124,0,１／３,755,1050,0,12,0,１／３,0,0,－,957,29,0,0
2022-07-06, 群馬県,1321,69,59,0,２／４,435,642,0,9,5,0,0,0,１／４,13,37,0,0,187,0,３／６,692,1727,0,11,0,２／４,0,6,0,952,21,113,1
2022-07-06, 埼玉県 ,9018,275,268,0,２／４,940,1827,130,15,3,3,3,0,１／４,69,191,0,2,385,0,４／４,1924,1932,8,20,0,４／４,8,138,0,7180,0,1178,0
2022-07-06, 千葉県 ,6982,220,220,10,２／２,1173,1565,206,14,3,2,2,0,２／２,90,121,0,2,280,0,２／２,1296,1956,3,14,10,２／２,51,209,5,6352,0,130,0
2022-07-06, 東京都 ,39229,1288,1283,12,１／２,4766,7179,217,18,3,263,263,0,１／２,702,1007,0,26,3299,38,１／２,6190,8580,290,38,127,１／２,1304,1434,9,22746,95,11819,80
2022-07-06, 神奈川県,14636,293,293,13,１／４,1166,2100,143,14,2,6,6,0,１／４,95,210,0,3,289,0,１／１,2291,2291,0,13,13,１／４,78,143,9,14004,133,50,0
2022-07-06, 新潟県,1042,27,27,0,３／４,557,664,0,4,3,0,0,0,３／４,112,112,0,0,21,0,３／３,300,357,0,6,0,３／３,10,10,0,994,21,0,0
2022-07-06, 富山県 ,1407,29,29,0,１／３,111,481,0,6,2,0,0,0,１／３,12,36,0,0,116,0,１／３,510,760,0,15,0,１／３,0,0,－,1038,19,224,3
2022-07-06, 石川県,1306,30,30,0,２／３,269,313,0,10,2,1,1,0,２／３,33,37,0,3,36,0,２／３,630,630,0,6,0,２／３,0,0,－,833,12,407,0
2022-07-06, 福井県 ,851,26,26,0,２／５,161,441,100,6,3,0,0,0,２／５,13,24,0,0,60,0,２／５,425,575,0,10,0,２／５,0,100,0,765,0,0,0
2022-07-06, 山梨県 ,595,44,44,0,２／５,165,389,0,11,7,0,0,0,２／５,13,24,0,0,155,127,２／５,1135,1135,639,14,127,２／５,639,639,20,378,25,18,0
2022-07-06, 長野県 ,1060,40,40,0,２／３,336,520,0,8,4,0,0,0,２／３,34,43,0,0,135,0,２／３,658,658,0,21,0,－,0,0,－,800,11,85,0
2022-07-06, 岐阜県 ,2502,113,112,0,２／４,419,894,0,13,5,1,1,0,２／４,55,59,0,2,304,0,２／３,1932,1932,4,16,0,２／３,4,4,0,1647,23,438,5
2022-07-06, 静岡県,3833,105,63,0,３／３,578,642,0,10,3,1,1,0,３／３,49,60,0,2,134,0,３／３,958,958,0,14,0,３／３,0,75,0,3579,4,15,0
2022-07-06, 愛知県,11621,225,198,0,１／２,1214,1723,0,11,2,2,2,0,１／２,139,172,0,1,481,0,１／２,2224,2224,0,22,0,１／２,0,0,－,8434,97,2481,0
2022-07-06, 三重県 ,2509,121,106,0,２／３,347,461,0,23,5,1,1,0,２／３,46,50,0,2,122,0,３／３,496,496,0,25,0,２／３,0,0,－,2241,66,25,4
2022-07-06, 滋賀県,1836,108,94,0,４／４,391,391,0,24,6,0,0,0,４／４,49,49,0,0,107,0,４／４,630,630,0,17,0,４／４,0,0,－,1612,4,9,8
2022-07-06, 京都府 ,4494,144,144,0,２／２,960,960,110,15,3,10,10,0,２／２,171,171,0,6,165,0,１／１,1126,1126,0,15,0,２／２,110,110,0,4185,22,0,0
2022-07-06, 大阪府 ,21575,665,665,0,１／５,2365,4313,0,15,3,133,133,0,１／５,1094,1479,0,9,1262,38,４／７,4164,9861,188,13,38,Ⅰ／Ⅰ,194,229,17,16087,0,3561,0
2022-07-06, 兵庫県 ,7923,286,286,0,３／５,1000,1529,0,19,4,3,3,0,３／５,100,142,0,2,253,0,３／５,1500,2411,0,10,0,－,0,0,－,6648,0,736,0
2022-07-06, 奈良県 ,1738,55,55,0,２／３,399,524,0,10,3,3,3,0,２／３,27,36,0,8,159,0,２／３,969,969,0,16,0,２／３,0,0,－,0,0,1524,0
2022-07-06, 和歌山県 ,1256,97,97,0,３／３,511,511,0,19,8,0,0,0,３／３,26,26,0,0,77,0,３／３,178,178,0,43,0,３／３,178,181,0,1082,0,0,0
2022-07-06, 鳥取県,999,33,33,0,２／３,244,350,5,9,3,0,0,0,２／３,30,47,0,0,130,0,２／２,459,459,0,28,0,１／１,5,5,0,726,0,110,110
