日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2022-01-19, 北海道,3964,327,327,0,２／３,1547,2065,0,16,8,0,0,0,２／３,102,134,0,0,452,0,２／３,2040,2500,0,18,0,２／３,34,56,0,2316,21,869,0
2022-01-19, 青森県,764,73,72,0,３／５,389,414,0,17,10,0,0,0,１／５,31,31,0,0,249,0,３／５,700,700,0,36,0,－,0,0,－,74,0,368,0
2022-01-19, 岩手県,133,70,70,0,１／２,203,301,0,23,53,0,0,0,１／２,29,31,0,0,54,0,１／２,100,280,0,19,0,－,0,0,－,6,0,3,0
2022-01-19, 宮城県 ,569,50,50,0,Ⅰ／Ⅰ,510,510,0,10,9,1,1,0,Ⅰ／Ⅰ,55,55,0,2,333,0,Ⅰ／Ⅰ,1250,1250,0,27,0,－,0,0,－,88,0,98,0
2022-01-19, 秋田県 ,227,53,53,0,５／６,229,289,0,18,23,0,0,0,５／６,15,24,0,0,87,0,５／６,395,415,0,21,0,－,0,0,－,0,0,87,10
2022-01-19, 山形県 ,321,67,67,0,３／４,187,237,0,28,21,0,0,0,３／４,26,26,0,0,60,0,３／４,322,322,0,19,0,３／４,0,0,－,111,0,83,0
2022-01-19, 福島県 ,472,217,217,0,３／３,734,742,8,29,46,1,1,0,３／３,47,47,0,2,110,0,３／３,480,480,0,23,0,２／３,0,21,0,108,0,37,4
2022-01-19, 茨城県 ,1648,90,90,0,４／４,600,663,77,14,5,2,2,0,３／４,30,72,0,3,427,0,３／５,1020,2600,0,16,0,４／４,77,77,0,1131,0,0,0
2022-01-19, 栃木県,1492,155,155,0,２／３,448,638,100,24,10,0,0,0,２／３,32,46,0,0,251,0,２／３,665,1065,0,24,0,２／３,10,100,0,1021,25,65,0
2022-01-19, 群馬県,1999,218,218,0,３／４,496,561,0,39,11,1,0,0,２／４,22,37,0,0,706,0,５／６,1319,1727,0,41,0,３／４,0,6,0,595,0,480,480
2022-01-19, 埼玉県 ,8213,549,549,0,２／４,1358,1743,26,31,7,5,5,0,２／４,130,198,0,3,816,0,４／４,1925,1986,8,41,0,１／６,26,34,0,4633,0,2215,0
2022-01-19, 千葉県 ,6664,245,245,1,２／２,1239,1462,158,17,4,0,0,0,２／２,119,123,0,0,466,0,２／２,2011,2011,3,23,1,２／２,29,161,1,4937,0,1016,0
2022-01-19, 東京都 ,33281,1805,1793,0,３／３,5015,6919,80,26,5,313,313,0,１／３,1468,1468,0,21,2751,42,３／３,4760,7966,90,35,70,３／３,301,936,7,15401,28,13296,156
2022-01-19, 神奈川県,12780,406,406,17,３／４,1249,2100,143,19,3,5,5,0,３／４,123,210,0,2,562,0,１／１,2092,2092,0,27,17,３／４,39,143,12,10316,61,1496,0
2022-01-19, 新潟県,1709,170,170,0,３／４,555,653,0,26,10,0,0,0,３／４,112,112,0,0,46,0,３／３,300,340,0,14,0,１／３,0,10,0,1493,0,0,0
2022-01-19, 富山県 ,243,73,73,0,２／３,230,481,0,15,30,0,0,0,２／３,14,36,0,0,117,0,２／３,625,625,0,19,0,２／３,0,0,－,34,0,19,0
2022-01-19, 石川県,704,84,84,0,２／３,253,306,0,27,12,0,0,0,２／３,33,37,0,0,111,0,２／３,560,560,0,20,0,１／３,0,0,－,261,0,248,0
2022-01-19, 福井県 ,435,40,40,0,２／５,132,425,100,9,9,0,0,0,２／５,7,24,0,0,310,0,５／５,316,316,0,98,0,２／５,0,100,0,85,0,0,0
2022-01-19, 山梨県 ,713,138,138,0,３／５,221,376,0,37,19,0,0,0,３／５,19,24,0,0,560,311,３／５,966,966,479,58,311,３／５,479,479,65,15,0,0,0
2022-01-19, 長野県 ,1783,146,146,0,２／３,356,513,0,28,8,1,1,0,２／３,35,43,0,2,502,0,２／３,806,806,0,62,0,－,0,0,－,906,0,229,0
2022-01-19, 岐阜県 ,1677,247,247,0,３／４,798,894,0,28,15,0,0,0,３／４,59,59,0,0,757,0,３／３,1566,1566,4,48,0,３／４,4,4,0,0,0,673,10
2022-01-19, 静岡県,4088,79,79,0,２／３,446,751,0,11,2,1,1,0,２／３,49,64,0,2,378,0,２／３,870,1070,0,35,0,２／３,75,75,0,3100,0,531,0
2022-01-19, 愛知県,9222,220,205,0,１／２,1141,1666,0,12,2,2,2,0,１／２,134,172,0,1,856,0,１／２,1628,1628,0,53,0,１／２,0,0,－,6000,45,2146,1
2022-01-19, 三重県 ,1633,115,115,0,３／３,457,457,0,25,7,0,0,0,３／３,50,50,0,0,79,0,２／３,334,665,0,12,0,３／３,0,0,－,1409,0,30,3
2022-01-19, 滋賀県,2189,224,224,0,Ⅰ／Ⅰ,446,487,30,46,10,0,0,0,Ⅰ／Ⅰ,52,52,0,0,442,0,Ⅰ／Ⅰ,677,677,0,65,0,Ⅰ／Ⅰ,0,30,0,1444,5,79,3
2022-01-19, 京都府 ,4927,268,268,0,１／２,699,888,110,30,5,38,38,0,１／２,152,171,0,22,449,0,１／１,1126,1126,0,40,0,１／２,30,110,0,4210,15,0,0
2022-01-19, 大阪府 ,22900,1084,1084,0,４／５,2719,3734,0,29,5,254,254,0,１／５,962,1365,0,19,2401,0,５／７,8231,10242,0,23,0,１／５,0,1041,0,13123,0,6292,0
2022-01-19, 兵庫県 ,6627,536,536,0,４／５,1200,1417,0,38,8,3,3,0,４／５,120,142,0,2,1314,0,４／５,2000,2411,0,55,0,－,0,0,－,3742,0,1035,12
2022-01-19, 奈良県 ,1800,217,217,0,３／３,503,503,0,43,12,3,3,0,３／３,34,34,0,9,624,0,３／３,1083,1083,0,58,0,３／３,0,0,－,0,0,959,0
2022-01-19, 和歌山県 ,857,446,446,0,３／３,620,620,0,72,52,2,2,0,３／３,26,26,0,8,73,0,３／３,151,201,0,36,0,３／３,0,178,0,0,0,338,338
2022-01-19, 鳥取県,310,116,116,0,１／３,234,350,5,33,37,0,0,0,１／３,19,47,0,0,100,0,１／２,277,364,0,27,0,１／１,5,5,0,60,0,34,34
2022-01-19, 島根県,848,131,131,0,５／５,312,368,0,36,15,1,1,0,５／５,5,28,0,4,36,0,５／５,133,133,0,27,0,－,0,0,－,358,0,323,9
2022-01-19, 岡山県,1850,64,64,0,３／４,484,554,0,12,3,0,0,0,２／４,37,68,0,0,170,0,２／３,359,629,0,27,0,２／４,0,5,0,1455,6,161,16
2022-01-19, 広島県,8977,265,246,0,３／４,517,591,0,42,3,7,7,0,３／４,44,46,0,15,708,0,３／４,2334,2334,0,30,0,３／４,0,0,－,5686,15,2318,0
2022-01-19, 山口県,2142,248,248,0,４／４,581,581,0,43,12,1,1,0,４／４,47,47,0,2,252,0,４／４,830,830,0,30,0,２／４,0,0,－,1148,34,494,0
2022-01-19, 徳島県,255,53,53,0,２／５,142,263,22,20,21,0,0,0,２／５,6,25,0,0,153,0,２／５,240,450,0,34,0,２／５,0,22,0,49,0,0,0
2022-01-19, 香川県,653,78,77,0,２／３,189,264,0,29,12,1,1,0,２／３,21,30,0,3,177,0,１／２,368,424,0,42,0,２／３,0,0,－,212,11,186,0
2022-01-19, 愛媛県 ,1475,59,59,0,３／３,263,263,0,22,4,1,1,0,３／３,19,19,0,5,45,0,３／３,263,263,67,17,0,３／３,67,67,0,1261,0,110,0
