日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2022-06-08, 北海道,11295,400,288,0,２／３,1749,2212,0,13,4,2,2,0,２／３,108,140,0,1,194,0,２／３,2085,2215,0,9,0,２／３,56,56,0,10311,278,390,0
2022-06-08, 青森県,1333,74,65,0,３／５,445,457,0,14,6,0,0,0,１／５,31,31,0,0,57,0,３／５,890,890,0,6,0,－,0,0,－,1039,25,163,0
2022-06-08, 岩手県,1808,76,61,0,２／２,325,325,0,19,4,0,0,0,２／２,31,31,0,0,31,0,２／２,280,280,0,11,0,－,0,0,－,1701,58,0,0
2022-06-08, 宮城県 ,2138,81,58,0,Ⅰ／Ⅰ,527,527,0,11,4,0,0,0,Ⅰ／Ⅰ,55,55,0,0,375,0,Ⅰ／Ⅰ,1950,1950,0,19,0,－,0,0,－,1458,0,224,0
2022-06-08, 秋田県 ,894,55,29,0,６／６,289,289,0,10,6,0,0,0,６／６,24,24,0,0,27,0,６／６,415,415,0,7,0,－,0,0,－,730,56,82,0
2022-06-08, 山形県 ,671,42,31,0,４／４,226,245,0,13,6,0,0,0,４／４,26,26,0,0,33,0,４／４,348,348,0,9,0,４／４,0,0,－,590,0,6,0
2022-06-08, 福島県 ,1180,141,107,0,３／３,751,751,8,14,12,1,1,0,３／３,47,47,0,2,125,0,３／３,1547,1547,0,8,0,３／３,16,24,0,886,0,28,0
2022-06-08, 茨城県 ,1431,48,48,0,１／４,300,609,0,8,3,0,0,0,１／４,30,72,0,0,156,0,３／５,1041,2600,0,6,0,１／４,0,0,－,1227,15,0,0
2022-06-08, 栃木県,1342,41,41,0,１／３,399,591,33,7,3,1,1,0,１／３,22,46,0,2,95,0,１／３,755,1050,0,9,0,１／３,33,33,0,1206,5,0,0
2022-06-08, 群馬県,1593,108,55,0,２／４,411,614,0,9,7,1,1,0,１／４,13,37,0,3,179,0,４／６,1073,1727,0,10,0,２／４,0,6,0,1020,25,286,2
2022-06-08, 埼玉県 ,5382,273,266,0,３／４,1311,1827,130,15,5,0,0,0,３／４,150,191,0,0,225,0,４／４,2114,2122,8,11,0,４／４,8,138,0,4394,0,490,0
2022-06-08, 千葉県 ,3616,130,116,4,２／２,1207,1564,206,7,4,1,1,0,２／２,94,124,0,1,127,0,２／２,1956,1956,3,6,4,２／２,51,209,2,3251,0,108,0
2022-06-08, 東京都 ,22542,819,819,16,１／２,4866,7179,217,11,4,184,184,0,１／２,747,1007,0,18,1084,15,１／２,6190,8580,290,13,97,１／２,1296,1637,6,13036,103,7537,12
2022-06-08, 神奈川県,6861,227,227,7,２／４,1410,2100,143,11,3,8,8,0,２／４,130,210,0,4,186,0,１／１,2291,2291,0,8,7,２／４,78,143,5,6440,89,8,0
2022-06-08, 新潟県,1435,33,33,0,３／４,577,664,0,5,2,1,1,0,３／４,112,112,0,1,14,0,３／３,300,357,0,4,0,３／３,10,10,0,1388,21,0,0
2022-06-08, 富山県 ,1498,23,23,0,１／３,111,481,0,5,2,0,0,0,１／３,12,36,0,0,77,0,１／３,760,760,0,10,0,１／３,0,0,－,1278,1,120,0
2022-06-08, 石川県,1557,49,49,0,Ⅰ／Ⅱ,410,410,0,12,3,0,0,0,Ⅰ／Ⅱ,37,37,0,0,25,0,Ⅰ／Ⅱ,630,630,0,4,0,Ⅰ／Ⅱ,0,0,－,1223,4,260,0
2022-06-08, 福井県 ,1018,29,29,0,２／５,161,441,100,7,3,0,0,0,２／５,13,24,0,0,214,0,２／５,425,575,0,37,0,２／５,0,100,0,775,0,0,0
2022-06-08, 山梨県 ,675,46,46,0,３／５,225,389,0,12,7,0,0,0,３／５,19,24,0,0,216,180,３／５,1135,1135,639,19,180,３／５,639,639,28,381,11,32,0
