日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2022-06-08, 長野県 ,1458,85,76,0,２／３,450,520,0,15,6,1,1,0,２／３,38,43,0,2,130,0,２／３,806,806,0,16,0,－,0,0,－,1161,4,82,0
2022-06-08, 岐阜県 ,3180,230,225,0,３／４,705,894,0,25,7,0,0,0,３／４,59,59,0,0,378,0,３／３,1932,1932,4,20,0,３／４,4,4,0,2030,41,542,33
2022-06-08, 静岡県,3648,72,72,0,３／３,618,644,0,11,2,2,2,0,３／３,53,60,0,3,95,0,３／３,1057,1057,0,9,0,３／３,0,75,0,3478,21,3,0
2022-06-08, 愛知県,10449,366,247,0,２／２,1707,1707,0,14,4,6,6,0,２／２,172,172,0,3,362,0,２／２,2224,2224,0,16,0,２／２,0,0,－,8431,44,1290,0
2022-06-08, 三重県 ,1611,93,67,0,３／３,463,463,0,14,6,1,1,0,３／３,50,50,0,2,57,0,３／３,682,682,0,8,0,３／３,0,0,－,1454,35,7,0
2022-06-08, 滋賀県,1520,57,50,0,Ⅰ／Ⅰ,500,503,30,10,4,0,0,0,Ⅰ／Ⅰ,52,52,0,0,59,0,Ⅰ／Ⅰ,630,630,0,9,0,Ⅰ／Ⅰ,30,30,0,1404,6,0,0
2022-06-08, 京都府 ,3510,103,103,0,２／２,960,960,110,11,3,4,4,0,２／２,171,171,0,2,124,0,１／１,1126,1126,0,11,0,２／２,110,110,0,3283,0,0,0
2022-06-08, 大阪府 ,16422,573,573,0,２／５,2769,4023,0,14,3,191,191,0,２／５,1135,1470,0,13,711,29,４／７,6290,11216,150,6,29,Ⅰ／Ⅰ,156,191,15,11918,0,3220,0
2022-06-08, 兵庫県 ,6292,195,195,0,３／５,1000,1529,0,13,3,4,4,0,３／５,100,142,0,3,146,0,３／５,1500,2411,0,6,0,－,0,0,－,5613,0,338,0
2022-06-08, 奈良県 ,1534,42,42,0,３／３,522,522,0,8,3,0,0,0,３／３,36,36,0,0,99,0,３／３,1083,1083,0,9,0,３／３,0,0,－,0,0,1393,0
2022-06-08, 和歌山県 ,610,77,77,0,３／３,614,614,0,13,13,1,1,0,３／３,26,26,0,4,44,0,３／３,178,178,0,25,0,３／３,178,181,0,489,0,0,0
2022-06-08, 鳥取県,537,36,36,0,２／３,240,350,5,10,7,0,0,0,２／３,30,47,0,0,91,0,２／２,459,459,0,20,0,１／１,5,5,0,331,0,79,79
2022-06-08, 島根県,485,32,32,0,５／５,297,371,0,9,7,0,0,0,５／５,5,28,0,0,14,0,５／５,133,133,0,11,0,－,0,0,－,343,0,96,2
2022-06-08, 岡山県,2299,79,79,0,３／４,488,554,0,14,3,1,1,0,２／４,37,68,0,1,62,0,２／３,373,629,0,10,0,２／４,0,5,0,2013,46,145,1
2022-06-08, 広島県,6164,335,112,0,４／４,588,598,19,19,5,1,1,0,４／４,44,47,0,2,352,0,４／４,1972,2334,0,15,0,４／４,19,19,0,5265,133,212,0
2022-06-08, 山口県,1741,107,107,0,３／４,448,595,0,18,6,0,0,0,３／４,23,47,0,0,89,0,３／４,830,830,0,11,0,３／４,0,0,－,1489,12,56,0
2022-06-08, 徳島県,688,17,17,0,２／５,142,263,22,6,2,0,0,0,２／５,6,25,0,0,64,0,５／５,500,500,0,13,0,２／５,0,22,0,607,0,0,0
2022-06-08, 香川県,1084,44,36,0,３／３,266,266,0,14,4,0,0,0,３／３,30,30,0,0,77,0,２／２,474,474,0,16,0,３／３,0,0,－,806,8,157,0
2022-06-08, 愛媛県 ,1487,47,44,0,３／３,303,303,0,15,3,1,1,0,３／３,19,19,0,5,32,0,３／３,263,263,67,12,0,３／３,67,67,0,1402,18,6,0
2022-06-08, 高知県 ,1011,62,38,0,５／５,271,271,0,14,6,1,1,0,５／５,24,24,0,4,49,0,５／５,418,418,0,12,0,－,0,0,－,894,40,6,1
2022-06-08, 福岡県,8112,306,260,0,４／５,1307,1681,0,15,4,3,3,0,４／５,195,217,0,1,374,0,４／４,2468,2468,19,15,0,１／２,19,69,0,6937,23,495,0
2022-06-08, 佐賀県 ,1037,64,57,0,２／５,250,572,50,10,6,0,0,0,１／５,3,48,0,0,84,0,２／４,615,615,0,14,0,２／５,50,50,0,889,2,0,0
2022-06-08, 長崎県,2841,79,59,0,４／４,402,449,0,13,3,0,0,0,４／４,36,36,0,0,97,0,４／４,900,900,0,11,0,４／４,0,0,－,2509,0,156,0
2022-06-08, 熊本県,3600,202,147,0,２／２,702,702,0,21,6,3,3,0,２／２,53,53,0,6,290,0,２／２,1226,1226,0,24,0,－,0,0,－,2928,80,180,28
2022-06-08, 大分県,1224,73,73,0,３／４,410,508,0,14,6,1,1,0,３／４,34,43,0,2,144,25,３／４,1090,1360,254,11,25,３／４,175,254,10,1002,14,5,5
2022-06-08, 宮崎県,1996,40,40,0,２／２,306,306,0,13,2,0,0,0,２／２,15,15,0,0,62,0,３／３,500,500,0,12,0,３／３,0,0,－,1609,20,285,0
2022-06-08, 鹿児島県 ,2916,142,128,0,４／４,560,560,0,23,5,0,0,0,４／４,33,33,0,0,401,0,４／４,1765,1812,47,22,0,１／４,0,57,0,0,0,2373,0
2022-06-08, 沖縄県,10284,252,252,0,５／５,643,643,0,39,2,11,11,0,５／５,60,60,0,18,573,0,５／５,1280,1280,100,45,0,５／５,100,100,0,8374,0,1085,0
2022-06-08,合計,166009,6505,5635,27,,33631,43046,1073,,,431,431,0,,4240,5395,0,,8500,249,,58959,70974,1581,,342,,3100,4234,,128993,1238,21945,163
