日付,都道府県名,,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2021-01-27, 北海道,,1383,704,２／３,1811,0.3887355052457206,1811,18,２／３,182,0.0989010989010989,182,307,２／２,1835,0.1673024523160763,1835,304,68,0
2021-01-27, 青森県,,56,33,１／４,212,0.15566037735849056,225,2,１／４,31,0.06451612903225806,30,4,１／４,290,0.013793103448275862,100,12,0,7
2021-01-27, 岩手県,,33,28,２／３,385,0.07272727272727272,350,1,２／３,60,0.016666666666666666,45,5,２／３,381,0.013123359580052493,300,0,0,0
2021-01-27, 宮城県 ,,419,134,４／５,345,0.3884057971014493,450,8,４／５,43,0.18604651162790697,65,200,４／５,500,0.4,500,85,0,0
2021-01-27, 秋田県 ,,58,42,３／４,229,0.18340611353711792,235,1,３／４,24,0.041666666666666664,27,16,３／４,58,0.27586206896551724,69,0,0,0
2021-01-27, 山形県 ,,38,38,３／４,216,0.17592592592592593,215,2,３／４,26,0.07692307692307693,26,0,３／４,134,0,134,0,0,0
2021-01-27, 福島県 ,,269,213,４／４,469,0.4541577825159915,350,11,４／４,42,0.2619047619047619,50,23,４／４,160,0.14375,160,8,0,25
2021-01-27, 茨城県 ,,720,261,３／３,600,0.435,600,17,３／３,70,0.24285714285714285,70,113,４／４,324,0.3487654320987654,324,295,51,0
2021-01-27, 栃木県,,798,186,４／４,337,0.5519287833827893,337,21,４／４,46,0.45652173913043476,46,79,４／４,284,0.27816901408450706,284,0,145,388
2021-01-27, 群馬県,,361,181,３／３,335,0.5402985074626866,330,11,３／３,71,0.15492957746478872,50,146,３／３,1300,0.1123076923076923,1300,0,0,34
