日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2022-07-27, 滋賀県,13502,328,226,0,Ⅰ／Ⅰ,461,495,30,46,2,1,1,0,Ⅰ／Ⅰ,52,52,0,2,207,0,Ⅰ／Ⅰ,630,630,0,33,0,Ⅰ／Ⅰ,0,30,0,12951,23,16,13
2022-07-27, 京都府 ,36011,571,379,0,２／２,961,981,110,39,2,55,55,0,２／２,175,175,0,31,369,0,１／１,1126,1126,0,33,0,２／２,110,110,0,35071,228,0,0
2022-07-27, 大阪府 ,170373,2377,2377,0,Ⅰ／Ⅰ,3607,4794,0,50,1,562,562,0,３／５,1165,1527,0,37,3582,44,Ⅰ／Ⅰ,8275,9861,188,36,44,Ⅰ／Ⅰ,196,226,19,115909,0,48505,0
2022-07-27, 兵庫県 ,60599,1012,1012,0,５／５,1629,1629,0,62,2,19,19,0,５／５,142,142,0,13,770,0,５／５,2411,2411,0,32,0,－,0,0,－,52315,0,6502,55
2022-07-27, 奈良県 ,17343,352,269,0,３／３,533,533,0,50,2,11,11,0,３／３,36,36,0,31,378,0,３／３,969,969,0,39,0,３／３,0,0,－,0,0,16613,0
2022-07-27, 和歌山県 ,6186,355,355,0,３／３,529,529,0,67,6,3,0,0,３／３,26,26,0,0,103,0,３／３,178,178,0,58,0,３／３,178,181,0,5728,0,0,0
2022-07-27, 鳥取県,4569,100,100,0,３／３,257,350,5,29,2,0,0,0,３／３,30,47,0,0,108,0,２／２,459,459,0,24,0,１／１,5,5,0,3301,0,1060,1060
2022-07-27, 島根県,8232,196,126,0,５／５,348,371,0,34,2,5,5,0,５／５,8,28,0,18,46,0,５／５,133,133,0,35,0,－,0,0,－,6049,16,1941,0
2022-07-27, 岡山県,13931,245,212,0,４／４,525,554,0,38,2,3,2,0,２／４,37,68,0,3,133,0,２／３,629,629,0,21,0,２／４,0,5,0,10308,127,3245,2
2022-07-27, 広島県,16407,435,321,3,３／４,524,583,19,55,3,9,9,0,３／４,37,45,0,20,783,0,３／４,1760,2334,0,34,3,３／４,19,19,16,13472,233,1717,0
2022-07-27, 山口県,10742,258,258,0,３／４,449,595,0,43,2,1,1,0,３／４,23,47,0,2,191,0,３／４,671,671,0,28,0,３／４,0,0,－,9158,177,1135,0
2022-07-27, 徳島県,4695,87,87,0,３／５,175,263,22,33,2,2,2,0,３／５,16,25,0,8,195,0,５／５,500,500,0,39,0,３／５,0,22,0,4413,0,0,0
2022-07-27, 香川県,8514,147,87,0,３／３,271,271,0,32,2,1,1,0,３／３,30,30,0,3,162,0,２／２,474,474,0,34,0,３／３,0,0,－,5440,91,2765,0
2022-07-27, 愛媛県 ,11386,221,123,0,Ⅰ／Ⅰ,371,389,10,32,2,1,1,0,Ⅰ／Ⅰ,22,26,0,4,86,0,３／３,263,263,67,33,0,Ⅰ／Ⅰ,67,77,0,10524,168,555,0
2022-07-27, 高知県 ,5848,143,111,0,５／５,271,271,0,41,2,4,4,0,５／５,24,24,0,17,91,0,５／５,271,271,0,34,0,５／５,0,0,－,5599,180,15,10
2022-07-27, 福岡県,77642,1526,1151,0,５／５,1725,1725,0,67,2,9,9,0,５／５,217,217,0,4,1076,0,４／４,2432,2432,19,44,0,１／２,19,222,0,70014,234,5026,0
2022-07-27, 佐賀県 ,10873,366,287,0,４／５,502,576,50,50,3,0,0,0,１／５,8,48,0,0,191,0,２／４,615,615,0,31,0,４／５,50,50,0,10316,221,0,0
2022-07-27, 長崎県,12859,349,257,0,Ⅰ／Ⅱ,433,518,0,50,3,1,1,0,Ⅰ／Ⅱ,38,40,0,3,301,0,Ⅰ／Ⅱ,900,920,20,33,0,Ⅰ／Ⅱ,0,20,0,12209,184,0,0
2022-07-27, 熊本県,37199,744,552,0,Ⅱ／Ⅱ,855,855,0,65,2,9,9,0,Ⅱ／Ⅱ,68,68,0,13,584,0,Ⅱ／Ⅱ,1226,1226,0,48,0,－,0,0,－,25368,99,10503,253
2022-07-27, 大分県,10885,216,216,0,３／４,413,508,0,43,2,0,0,0,３／４,34,43,0,0,604,84,３／４,1270,1360,254,44,84,３／４,175,254,33,9908,199,157,157
2022-07-27, 宮崎県,14434,117,117,0,２／２,306,312,0,38,1,1,1,0,２／２,15,15,0,7,166,0,３／３,500,500,0,33,0,３／３,0,0,－,11445,154,2706,0
2022-07-27, 鹿児島県 ,19757,380,356,0,４／４,565,565,0,63,2,1,1,0,４／４,34,34,0,3,1349,0,４／４,1812,1812,47,74,0,１／４,0,57,0,0,0,18028,0
2022-07-27, 沖縄県,37227,596,596,0,Ⅰ／Ⅲ,853,853,0,70,2,25,25,0,Ⅰ／Ⅲ,64,64,0,39,519,0,Ⅰ／Ⅲ,2515,2515,100,21,0,Ⅰ／Ⅲ,100,100,0,29804,1437,6308,0
2022-07-27,合計,1402239,24860,21668,206,,40192,45188,1417,,,1352,1348,0,,4397,5552,0,,29186,626,,64199,69741,1639,,1158,,3458,4593,,1106122,7451,241745,2069
