日付,都道府県名,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2021-01-13, 北海道,1588,725,２／３,1811,0.4003313086692435,1811,12,２／３,182,0.06593406593406594,182,397,２／２,1835,0.21634877384196186,1835,403,63,0
2021-01-13, 青森県,70,35,１／４,210,0.16666666666666666,225,2,１／４,31,0.06451612903225806,30,29,１／４,290,0.1,100,5,0,1
2021-01-13, 岩手県,70,65,２／３,374,0.17379679144385027,350,2,２／３,59,0.03389830508474576,45,5,２／３,381,0.013123359580052493,300,0,0,0
2021-01-13, 宮城県 ,427,105,４／５,345,0.30434782608695654,450,9,４／５,43,0.20930232558139536,65,174,４／５,300,0.58,300,148,0,0
2021-01-13, 秋田県 ,28,18,２／４,229,0.07860262008733625,235,0,２／４,24,0,27,10,２／４,58,0.1724137931034483,69,0,0,0
2021-01-13, 山形県 ,59,59,３／４,216,0.27314814814814814,215,2,３／４,26,0.07692307692307693,26,0,３／４,134,0,134,0,0,0
2021-01-13, 福島県 ,340,269,４／４,469,0.5735607675906184,350,9,４／４,42,0.21428571428571427,50,71,４／４,160,0.44375,160,0,0,0
2021-01-13, 茨城県 ,749,230,３／３,500,0.46,500,9,３／３,70,0.12857142857142856,70,162,４／４,324,0.5,324,357,0,0
2021-01-13, 栃木県,1129,201,４／４,317,0.6340694006309149,317,17,４／４,46,0.3695652173913043,46,69,４／４,284,0.24295774647887325,250,0,91,768
2021-01-13, 群馬県,572,211,３／３,335,0.6298507462686567,330,12,３／３,71,0.16901408450704225,50,214,３／３,1300,0.1646153846153846,1300,0,0,147
2021-01-13, 埼玉県 ,4925,917,４／４,1267,0.7237569060773481,1400,67,４／４,117,0.5726495726495726,200,282,２／３,1359,0.20750551876379691,1450,3465,0,261
2021-01-13, 千葉県 ,4667,613,４／４,1144,0.5358391608391608,1200,31,４／４,94,0.32978723404255317,180,315,４／４,815,0.38650306748466257,1400,3576,0,163
2021-01-13, 東京都 ,19207,3345,４／４,4000,0.83625,4000,注８　523,４／４,注8　500,注８,500,981,４／４,2360,0.41567796610169494,3000,8540,83,6258
2021-01-13, 神奈川県,5635,829,２／３,1939,0.42753996905621455,1939,102,２／３,200,0.51,200,538,２／２,1261,0.42664551942902457,1000,4268,0,0
2021-01-13, 新潟県,162,115,２／３,456,0.25219298245614036,456,0,２／３,112,0,112,34,１／３,176,0.19318181818181818,176,13,0,0
2021-01-13, 富山県 ,148,68,２／４,500,0.136,500,2,２／４,36,0.05555555555555555,36,68,２／４,377,0.18037135278514588,100,12,0,0
2021-01-13, 石川県,154,128,２／２,258,0.49612403100775193,254,10,２／２,35,0.2857142857142857,35,26,２／２,340,0.07647058823529412,340,0,0,0
2021-01-13, 福井県 ,39,39,２／４,255,0.15294117647058825,255,1,２／４,24,0.041666666666666664,24,0,１／４,75,0,75,0,0,0
2021-01-13, 山梨県 ,177,141,３／４,285,0.49473684210526314,250,4,３／４,24,0.16666666666666666,24,36,３／４,139,0.2589928057553957,100,0,0,0
2021-01-13, 長野県 ,490,223,４／４,350,0.6371428571428571,350,9,４／４,48,0.1875,48,147,３／４,250,0.588,250,97,0,23
2021-01-13, 岐阜県 ,726,373,３／３,625,0.5968,625,17,３／３,51,0.3333333333333333,51,188,３／３,466,0.4034334763948498,466,0,0,165
2021-01-13, 静岡県,858,177,４／４,470,0.37659574468085105,450,10,４／４,38,0.2631578947368421,67,127,４／４,592,0.21452702702702703,450,0,0,554
2021-01-13, 愛知県,3288,702,４／４,1102,0.6370235934664247,839,51,４／４,103,0.49514563106796117,121,272,４／４,1300,0.20923076923076922,1300,2182,0,132
2021-01-13, 三重県 ,318,214,３／３,357,0.5994397759103641,357,4,３／３,53,0.07547169811320754,53,11,３／３,100,0.11,100,93,0,0
2021-01-13, 滋賀県,381,205,３／３,278,0.737410071942446,280,17,３／３,44,0.38636363636363635,62,123,３／３,260,0.47307692307692306,420,51,0,2
2021-01-13, 京都府 ,1464,280,３／３,720,0.3888888888888889,750,27,３／３,86,0.313953488372093,86,104,３／３,826,0.12590799031476999,338,1080,0,0
2021-01-13, 大阪府 ,5850,1149,４／４,1602,0.7172284644194756,1615,261,４／４,397,0.6574307304785895,215,1225,３／３,2019,0.6067360079247152,1036,2276,0,1200
2021-01-13, 兵庫県 ,1589,586,６／６,756,0.7751322751322751,750,70,６／６,116,0.603448275862069,120,476,６／６,988,0.4817813765182186,1000,0,0,527
2021-01-13, 奈良県 ,378,205,３／３,370,0.5540540540540541,500,9,３／３,28,0.32142857142857145,25,121,３／３,250,0.484,250,0,4,48
2021-01-13, 和歌山県 ,133,133,２／４,400,0.3325,400,0,２／４,40,0,40,0,２／４,137,0,137,0,0,0
2021-01-13, 鳥取県,57,57,２／３,313,0.18210862619808307,300,2,２／３,47,0.0425531914893617,40,0,１／３,340,0,150,0,0,0
2021-01-13, 島根県,21,21,２／５,253,0.08300395256916997,253,1,２／５,25,0.04,25,0,２／５,98,0,98,0,0,0
2021-01-13, 岡山県,479,148,３／４,401,0.3690773067331671,250,17,３／４,37,0.4594594594594595,40,69,３／４,207,0.3333333333333333,180,262,0,0
2021-01-13, 広島県,873,319,３／３,453,0.7041942604856513,500,15,３／３,33,0.45454545454545453,70,253,３／３,819,0.3089133089133089,700,224,77,0
2021-01-13, 山口県,149,135,３／３,423,0.3191489361702128,423,2,３／３,137,0.014598540145985401,137,14,１／３,834,0.016786570743405275,834,0,0,0
2021-01-13, 徳島県,69,59,２／４,200,0.295,200,0,２／４,25,0,25,10,２／４,180,0.05555555555555555,180,0,0,0
2021-01-13, 香川県,168,47,２／３,199,0.23618090452261306,199,2,２／３,26,0.07692307692307693,26,39,２／３,101,0.38613861386138615,101,0,0,82
2021-01-13, 愛媛県 ,242,65,３／３,229,0.2838427947598253,223,4,３／３,33,0.12121212121212122,33,52,３／３,192,0.2708333333333333,117,125,0,0
2021-01-13, 高知県 ,76,49,４／４,200,0.245,200,4,４／４,58,0.06896551724137931,57,20,４／４,203,0.09852216748768473,190,7,0,0
2021-01-13, 福岡県,3112,489,２／３,610,0.8016393442622951,760,19,２／３,110,0.17272727272727273,110,521,２／３,1057,0.49290444654683063,1200,2102,0,0
2021-01-13, 佐賀県 ,138,79,２／４,273,0.2893772893772894,273,1,２／４,46,0.021739130434782608,46,59,１／４,253,0.233201581027668,253,0,0,0
2021-01-13, 長崎県,472,200,４／４,395,0.5063291139240507,395,8,４／４,27,0.2962962962962963,42,80,４／４,367,0.21798365122615804,550,123,0,69
2021-01-13, 熊本県,680,271,３／３,420,0.6452380952380953,420,20,３／３,59,0.3389830508474576,59,96,３／３,140,0.6857142857142857,140,313,0,0
