日付,都道府県名,,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2021-01-06, 北海道,,1607,835,２／３,1811,0.46107123136388733,1811,23,２／３,182,0.12637362637362637,182,240,２／２,1835,0.1307901907356948,1835,365,167,0
2021-01-06, 青森県,,92,39,１／４,210,0.18571428571428572,225,2,１／４,31,0.06451612903225806,30,40,１／４,290,0.13793103448275862,100,1,0,12
2021-01-06, 岩手県,,50,48,２／３,374,0.12834224598930483,350,4,２／３,59,0.06779661016949153,45,2,２／３,381,0.005249343832020997,300,0,0,0
2021-01-06, 宮城県 ,,287,82,４／５,345,0.23768115942028986,450,5,４／５,43,0.11627906976744186,65,103,４／５,300,0.3433333333333333,300,102,0,0
2021-01-06, 秋田県 ,,37,17,２／４,222,0.07657657657657657,235,0,２／４,24,0,27,20,２／４,58,0.3448275862068966,69,0,0,0
2021-01-06, 山形県 ,,58,55,３／４,216,0.25462962962962965,215,5,３／４,26,0.19230769230769232,26,0,３／４,108,0,108,3,0,0
2021-01-06, 福島県 ,,235,220,３／４,469,0.4690831556503198,350,8,３／４,42,0.19047619047619047,50,15,３／４,160,0.09375,160,0,0,0
2021-01-06, 茨城県 ,,367,162,３／３,545,0.29724770642201837,500,8,３／３,70,0.11428571428571428,70,112,４／４,324,0.345679012345679,324,93,0,0
2021-01-06, 栃木県,,669,155,４／４,317,0.4889589905362776,317,9,４／４,46,0.1956521739130435,46,42,４／４,284,0.14788732394366197,250,0,43,429
2021-01-06, 群馬県,,352,180,３／３,335,0.5373134328358209,330,10,３／３,71,0.14084507042253522,50,129,３／３,1300,0.09923076923076923,1300,0,0,43
2021-01-06, 埼玉県 ,,3467,826,４／４,1267,0.6519337016574586,1400,70,２／４,131,0.5343511450381679,200,264,２／３,1359,0.19426048565121412,1450,2008,0,369
2021-01-06, 千葉県 ,,2848,531,４／４,1144,0.46416083916083917,1200,22,４／４,94,0.23404255319148937,180,215,４／４,815,0.26380368098159507,1400,1967,0,135
2021-01-06, 東京都 ,,12431,3134,４／４,4000,0.7835,4000,437,４／４,500,0.874,500,924,４／４,2360,0.39152542372881355,3000,5124,26,3223
2021-01-06, 神奈川県,,3447,673,２／３,1939,0.3470861268695204,1939,79,２／３,200,0.395,200,428,２／２,1247,0.34322373696872494,1000,2346,0,0
2021-01-06, 新潟県,,106,71,２／３,456,0.15570175438596492,456,0,２／３,112,0,112,28,１／３,176,0.1590909090909091,176,7,0,0
2021-01-06, 富山県 ,,61,55,２／４,500,0.11,500,2,２／４,36,0.05555555555555555,36,5,２／４,377,0.013262599469496022,100,1,0,0
2021-01-06, 石川県,,138,128,２／２,258,0.49612403100775193,254,6,２／２,35,0.17142857142857143,35,10,２／２,340,0.029411764705882353,340,0,0,0
2021-01-06, 福井県 ,,18,18,２／４,215,0.08372093023255814,215,0,２／４,24,0,24,0,１／４,75,0,75,0,0,0
2021-01-06, 山梨県 ,,102,81,２／４,285,0.28421052631578947,250,2,２／４,24,0.08333333333333333,24,21,２／４,139,0.1510791366906475,100,0,0,0
2021-01-06, 長野県 ,,202,137,３／４,350,0.3914285714285714,350,3,３／４,48,0.0625,48,57,３／４,250,0.228,250,6,0,2
2021-01-06, 岐阜県 ,,657,325,３／３,625,0.52,625,12,３／３,51,0.23529411764705882,51,134,３／３,466,0.2875536480686695,466,0,0,198
2021-01-06, 静岡県,,535,155,４／４,442,0.3506787330316742,450,6,４／４,38,0.15789473684210525,67,67,４／４,592,0.11317567567567567,450,0,0,313
2021-01-06, 愛知県,,2510,649,４／４,1102,0.588929219600726,839,38,４／４,103,0.36893203883495146,121,232,４／４,1300,0.17846153846153845,1300,1356,0,273
2021-01-06, 三重県 ,,180,171,２／３,357,0.4789915966386555,357,5,２／３,53,0.09433962264150944,53,2,２／３,100,0.02,100,7,0,0
2021-01-06, 滋賀県,,293,192,３／３,274,0.7007299270072993,280,12,３／３,44,0.2727272727272727,62,76,３／３,260,0.2923076923076923,420,21,0,4
2021-01-06, 京都府 ,,1136,249,３／３,720,0.3458333333333333,750,26,３／３,86,0.3023255813953488,86,79,３／３,338,0.23372781065088757,338,808,0,0
2021-01-06, 大阪府 ,,4167,1040,４／４,1572,0.6615776081424937,1615,257,４／４,397,0.6473551637279596,215,673,３／３,2019,0.3333333333333333,1036,1510,0,944
2021-01-06, 兵庫県 ,,1041,530,６／６,756,0.701058201058201,750,54,６／６,116,0.46551724137931033,120,282,６／６,988,0.2854251012145749,1000,0,0,229
2021-01-06, 奈良県 ,,351,234,３／３,370,0.6324324324324324,500,10,３／３,28,0.35714285714285715,25,117,３／３,250,0.468,250,0,0,0
2021-01-06, 和歌山県 ,,98,98,２／４,400,0.245,400,2,２／４,40,0.05,40,0,２／４,137,0,137,0,0,0
2021-01-06, 鳥取県,,73,73,２／３,313,0.23322683706070288,300,1,２／３,47,0.02127659574468085,40,0,１／３,340,0,150,0,0,0
2021-01-06, 島根県,,22,22,２／５,253,0.08695652173913043,253,1,２／５,25,0.04,25,0,２／５,98,0,98,0,0,0
2021-01-06, 岡山県,,327,142,３／４,401,0.3541147132169576,250,9,３／４,37,0.24324324324324326,40,49,３／４,207,0.23671497584541062,180,136,0,0
2021-01-06, 広島県,,985,294,３／３,453,0.6490066225165563,500,14,３／３,33,0.42424242424242425,70,284,３／３,819,0.34676434676434675,700,308,99,0
