日付,都道府県名,,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2021-01-06, 山口県,,129,103,１／３,423,0.24349881796690306,423,3,１／３,137,0.021897810218978103,137,26,１／３,834,0.03117505995203837,834,0,0,0
2021-01-06, 徳島県,,22,22,２／４,200,0.11,200,0,２／４,25,0,25,0,２／４,180,0,180,0,0,0
2021-01-06, 香川県,,90,35,２／３,199,0.17587939698492464,199,1,２／３,26,0.038461538461538464,26,16,２／３,101,0.15841584158415842,101,0,0,39
2021-01-06, 愛媛県 ,,125,53,３／３,229,0.2314410480349345,223,4,３／３,33,0.12121212121212122,33,30,３／３,192,0.15625,117,42,0,0
2021-01-06, 高知県 ,,85,54,４／４,200,0.27,200,5,４／４,58,0.08620689655172414,57,20,４／４,203,0.09852216748768473,190,11,0,0
2021-01-06, 福岡県,,1762,392,２／３,600,0.6533333333333333,760,22,２／３,110,0.2,110,490,２／３,1057,0.46357615894039733,1200,880,0,0
2021-01-06, 佐賀県 ,,71,41,２／４,273,0.15018315018315018,273,1,２／４,46,0.021739130434782608,46,30,１／４,253,0.11857707509881422,253,0,0,0
2021-01-06, 長崎県,,339,154,４／４,395,0.389873417721519,395,9,４／４,27,0.3333333333333333,42,88,４／４,367,0.23978201634877383,550,45,0,52
2021-01-06, 熊本県,,391,213,３／３,420,0.5071428571428571,420,12,３／３,59,0.2033898305084746,59,65,３／３,1430,0.045454545454545456,140,113,0,0
2021-01-06, 大分県,,129,87,２／４,355,0.24507042253521127,355,4,２／４,41,0.0975609756097561,41,42,１／２,700,0.06,170,0,0,0
2021-01-06, 宮崎県,,286,63,２／３,246,0.25609756097560976,246,2,２／３,33,0.06060606060606061,33,93,２／３,250,0.372,250,130,0,0
2021-01-06, 鹿児島県 ,,141,80,３／４,345,0.2318840579710145,300,2,３／４,38,0.05263157894736842,48,54,３／４,370,0.14594594594594595,370,7,0,0
2021-01-06, 沖縄県,,375,175,４／５,469,0.373134328358209,425,17,４／５,53,0.32075471698113206,51,111,４／５,370,0.3,340,87,0,2
2021-01-06,合計,,42894,13093,,27650,,27635,1224,,3582,,3673,5715,,26399,,23957,17484,335,6267
