日付,都道府県名,"（１）PCR検査陽性者数（退院者等除く。）（注１,２）",（２）入院者数（入院確定者数を含む）,病床数現フェーズ／最終フェーズ（注３）,確保病床数(注４),確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,うち重症者数,病床数現フェーズ／最終フェーズ（注３）,確保病床数（注４）,確保病床数に対する使用率,（参考）最終フェーズにおける即応病床（計画）数（注５）,（３）宿泊療養者数,居室数現フェーズ／最終フェーズ（注３）,確保居室数（注６）,確保居室数に対する使用率,（参考）最終フェーズにおける宿泊療施設居室（計画）数（注７）,（４）自宅療養者数,（５）社会福祉施設等療養者数,（６）確認中の人数
2020-12-23, 北海道,1750,926,２／３,1811,0.51131971286582,1811,31,２／３,182,0.17032967032967034,182,256,２／２,1660,0.15421686746987953,1660,388,180,0
2020-12-23, 青森県,25,18,１／４,210,0.08571428571428572,225,2,１／４,31,0.06451612903225806,30,5,１／４,290,0.017241379310344827,100,2,0,0
2020-12-23, 岩手県,101,85,２／３,374,0.22727272727272727,350,3,２／３,59,0.05084745762711865,45,16,２／３,381,0.04199475065616798,300,0,0,0
2020-12-23, 宮城県 ,348,100,３／５,345,0.2898550724637681,450,6,３／５,43,0.13953488372093023,65,91,３／５,300,0.30333333333333334,300,157,0,0
2020-12-23, 秋田県 ,5,4,２／４,222,0.018018018018018018,235,0,２／４,24,0,27,1,２／４,58,0.017241379310344827,69,0,0,0
2020-12-23, 山形県 ,95,81,３／４,216,0.375,215,6,３／４,26,0.23076923076923078,26,8,３／４,108,0.07407407407407407,108,6,0,0
2020-12-23, 福島県 ,171,163,３／４,469,0.34754797441364604,350,5,３／４,42,0.11904761904761904,50,8,３／４,160,0.05,160,0,0,0
2020-12-23, 茨城県 ,226,118,３／３,550,0.21454545454545454,500,10,３／３,71,0.14084507042253522,70,50,３／４,324,0.15432098765432098,324,58,0,0
2020-12-23, 栃木県,240,139,３／４,313,0.4440894568690096,313,12,３／４,41,0.2926829268292683,41,32,３／４,284,0.11267605633802817,250,0,0,69
2020-12-23, 群馬県,341,207,３／３,335,0.6179104477611941,330,10,３／３,71,0.14084507042253522,50,107,３／３,1300,0.0823076923076923,1300,0,0,27
2020-12-23, 埼玉県 ,2193,659,４／４,1229,0.5362082994304312,1400,32,２／４,130,0.24615384615384617,200,229,２／３,1351,0.1695040710584752,1450,1109,0,196
2020-12-23, 千葉県 ,1340,384,３／４,1147,0.33478639930252835,1200,18,３／４,101,0.1782178217821782,180,222,３／４,955,0.2324607329842932,1400,656,0,78
2020-12-23, 東京都 ,6007,2148,４／４,4000,0.537,4000,343,４／４,500,0.686,500,983,３／４,2360,0.41652542372881357,3000,1895,28,953
2020-12-23, 神奈川県,2019,537,２／３,1939,0.27694687983496646,1939,57,２／３,200,0.285,200,408,２／２,1201,0.33971690258118237,1000,1074,0,0
2020-12-23, 新潟県,69,57,２／３,456,0.125,456,0,２／３,112,0,112,7,１／３,176,0.03977272727272727,176,5,0,0
2020-12-23, 富山県 ,31,28,２／４,500,0.056,500,1,２／４,36,0.027777777777777776,36,2,２／４,430,0.004651162790697674,100,1,0,0
2020-12-23, 石川県,86,82,２／２,258,0.3178294573643411,254,0,２／２,35,0,35,4,２／２,340,0.011764705882352941,340,0,0,0
2020-12-23, 福井県 ,12,12,２／４,215,0.05581395348837209,215,2,２／４,24,0.08333333333333333,24,0,１／４,75,0,75,0,0,0
2020-12-23, 山梨県 ,44,41,２／４,285,0.14385964912280702,250,2,２／４,24,0.08333333333333333,24,3,２／４,139,0.02158273381294964,100,0,0,0
2020-12-23, 長野県 ,155,132,３／４,350,0.37714285714285717,350,5,３／４,48,0.10416666666666667,48,9,３／４,250,0.036,250,12,0,2
2020-12-23, 岐阜県 ,368,268,３／３,625,0.4288,625,8,３／３,51,0.1568627450980392,51,40,３／３,466,0.08583690987124463,466,0,0,60
2020-12-23, 静岡県,496,177,４／４,442,0.4004524886877828,450,8,４／４,38,0.21052631578947367,67,44,４／４,592,0.07432432432432433,450,0,0,275
2020-12-23, 愛知県,2163,518,３／４,934,0.5546038543897216,839,39,３／４,103,0.3786407766990291,121,224,３／４,1300,0.1723076923076923,1300,1231,0,190
2020-12-23, 三重県 ,137,126,２／３,349,0.36103151862464183,349,4,２／３,53,0.07547169811320754,53,9,２／３,100,0.09,100,2,0,0
2020-12-23, 滋賀県,102,60,２／３,274,0.21897810218978103,280,3,２／３,44,0.06818181818181818,62,38,２／３,260,0.14615384615384616,420,3,0,1
2020-12-23, 京都府 ,738,236,３／３,680,0.34705882352941175,750,27,３／３,86,0.313953488372093,86,81,３／３,338,0.23964497041420119,338,421,0,0
2020-12-23, 大阪府 ,3629,1031,４／４,1542,0.6686121919584954,1615,256,４／４,397,0.6448362720403022,215,653,３／３,2019,0.3234274393263992,1036,1139,0,806
2020-12-23, 兵庫県 ,901,468,６／６,756,0.6190476190476191,750,41,６／６,116,0.35344827586206895,120,220,６／６,988,0.22267206477732793,1000,0,0,213
2020-12-23, 奈良県 ,279,212,３／３,467,0.4539614561027837,500,11,３／３,27,0.4074074074074074,25,67,２／３,108,0.6203703703703703,108,0,0,0
2020-12-23, 和歌山県 ,34,34,２／４,400,0.085,400,1,２／４,40,0.025,40,0,２／４,137,0,137,0,0,0
2020-12-23, 鳥取県,9,9,１／３,313,0.02875399361022364,300,0,１／３,47,0,40,0,１／３,340,0,150,0,0,0
2020-12-23, 島根県,22,22,１／５,253,0.08695652173913043,253,1,１／５,25,0.04,25,0,１／５,98,0,98,0,0,0
2020-12-23, 岡山県,384,156,３／４,401,0.38902743142144636,250,8,３／４,37,0.21621621621621623,40,68,３／４,207,0.3285024154589372,180,135,25,0
2020-12-23, 広島県,1114,258,３／３,553,0.4665461121157324,500,16,３／３,72,0.2222222222222222,70,102,３／３,934,0.10920770877944326,700,696,58,0
2020-12-23, 山口県,57,55,１／３,423,0.13002364066193853,423,3,１／３,137,0.021897810218978103,137,2,１／３,834,0.002398081534772182,834,0,0,0
2020-12-23, 徳島県,6,6,２／４,200,0.03,200,0,２／４,25,0,25,0,２／４,150,0,150,0,0,0
2020-12-23, 香川県,42,21,２／３,199,0.10552763819095477,199,0,２／３,26,0,26,5,２／３,101,0.04950495049504951,101,0,0,16
2020-12-23, 愛媛県 ,34,26,３／３,229,0.11353711790393013,223,4,３／３,33,0.12121212121212122,33,3,３／３,192,0.015625,117,5,0,0
2020-12-23, 高知県 ,207,119,４／４,200,0.595,200,4,４／４,58,0.06896551724137931,57,20,４／４,361,0.055401662049861494,190,68,0,0
2020-12-23, 福岡県,1021,237,２／３,551,0.4301270417422868,760,12,２／３,104,0.11538461538461539,110,465,２／３,1057,0.4399243140964995,1200,319,0,0
2020-12-23, 佐賀県 ,41,21,２／４,274,0.07664233576642336,274,0,２／４,46,0,46,20,１／４,253,0.07905138339920949,253,0,0,0
2020-12-23, 長崎県,159,63,２／４,395,0.15949367088607594,395,2,２／４,27,0.07407407407407407,42,61,２／４,352,0.17329545454545456,550,22,0,13
2020-12-23, 熊本県,233,156,３／３,420,0.37142857142857144,420,4,３／３,59,0.06779661016949153,59,31,３／３,1430,0.021678321678321677,140,46,0,0
2020-12-23, 大分県,78,55,２／４,355,0.15492957746478872,355,4,２／４,41,0.0975609756097561,41,23,１／２,700,0.032857142857142856,170,0,0,0
2020-12-23, 宮崎県,71,30,２／３,246,0.12195121951219512,246,1,２／３,33,0.030303030303030304,33,29,２／３,250,0.116,250,12,0,0
2020-12-23, 鹿児島県 ,66,43,３／４,342,0.12573099415204678,300,0,３／４,38,0,48,21,３／４,370,0.05675675675675676,370,2,0,0
2020-12-23, 沖縄県,273,142,４／５,469,0.302771855010661,425,15,４／５,53,0.2830188679245283,51,71,４／５,370,0.1918918918918919,340,60,0,0
2020-12-23,合計,27922,10470,,27516,,27624,1017,,3616,,3668,4738,,26449,,23610,9524,291,2899
