日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2022-03-09, 北海道,19734,1288,725,0,２／３,1689,2075,0,35,7,8,8,0,２／３,110,134,0,6,271,0,２／３,2140,2600,0,10,0,２／３,56,56,0,16544,902,1631,0
2022-03-09, 青森県,3363,200,198,0,３／５,383,408,0,49,6,5,5,0,１／５,31,31,0,16,105,0,３／５,920,920,0,11,0,－,0,0,－,2155,110,903,0
2022-03-09, 岩手県,2675,156,118,0,Ⅰ／Ⅰ,402,402,0,29,6,1,1,0,Ⅰ／Ⅰ,33,33,0,3,66,0,Ⅰ／Ⅰ,370,370,0,18,0,－,0,0,－,2394,41,59,0
2022-03-09, 宮城県 ,6108,264,160,0,Ⅰ／Ⅰ,511,511,0,31,4,9,9,0,Ⅰ／Ⅰ,55,55,0,16,1051,0,Ⅰ／Ⅰ,1780,1780,0,59,0,－,0,0,－,4074,218,719,0
2022-03-09, 秋田県 ,1752,98,98,0,６／６,289,289,0,34,6,1,1,0,６／６,24,24,0,4,41,0,６／６,395,415,0,10,0,－,0,0,－,1432,56,181,0
2022-03-09, 山形県 ,2075,95,93,0,Ⅰ／Ⅱ,225,252,0,37,5,2,2,0,Ⅰ／Ⅱ,26,26,0,8,62,0,Ⅰ／Ⅱ,322,322,0,19,0,Ⅰ／Ⅱ,0,0,－,1767,0,151,0
2022-03-09, 福島県 ,3222,258,251,0,３／３,751,751,8,33,8,5,5,0,３／３,47,47,0,11,358,0,３／３,1646,1646,0,22,0,３／３,16,24,0,2368,39,238,3
2022-03-09, 茨城県 ,8862,310,310,0,Ⅰ／Ⅰ,780,877,77,35,3,9,9,0,Ⅰ／Ⅰ,60,80,0,11,668,0,５／５,1950,2600,0,26,0,Ⅰ／Ⅰ,77,77,0,7884,60,0,0
2022-03-09, 栃木県,6249,199,199,7,２／３,638,638,100,31,3,7,7,0,２／３,32,46,0,15,384,0,２／３,990,1050,0,37,7,２／３,100,100,7,5666,323,0,0
2022-03-09, 群馬県,5352,267,267,0,４／４,568,568,0,47,5,7,7,0,４／４,37,37,0,19,544,0,６／６,1727,1727,0,31,0,４／４,6,6,0,4060,0,481,8
2022-03-09, 埼玉県 ,29813,1536,1146,0,Ⅰ／Ⅰ,2202,2202,130,52,5,44,44,0,Ⅰ／Ⅰ,239,239,0,18,718,0,Ⅰ／Ⅰ,1984,2523,8,28,0,Ⅰ／Ⅰ,174,198,0,24972,0,2587,0
2022-03-09, 千葉県 ,25006,1063,1022,16,２／２,1730,1776,232,58,4,20,20,0,２／２,124,124,0,16,523,0,２／２,2290,2290,3,23,16,２／２,227,235,7,22673,0,747,5
2022-03-09, 東京都 ,136671,3374,3244,49,３／３,6815,7229,230,45,2,599,598,0,３／３,1468,1468,0,41,3169,10,３／３,8850,8850,290,36,149,３／３,1761,2266,7,71558,793,58480,336
2022-03-09, 神奈川県,45945,1486,1486,76,Ⅰ／Ⅰ,2437,2500,180,59,3,81,81,0,Ⅰ／Ⅰ,193,270,0,30,354,0,１／１,2437,2437,0,15,76,Ⅰ／Ⅰ,180,204,37,43903,374,202,1
2022-03-09, 新潟県,2807,152,152,0,３／４,577,664,0,23,5,2,2,0,３／４,112,112,0,2,28,0,３／３,300,357,0,8,0,３／３,10,10,0,2627,70,0,0
2022-03-09, 富山県 ,5839,133,133,0,２／３,230,481,0,28,2,6,6,0,２／３,14,36,0,17,280,0,２／３,760,760,0,37,0,２／３,0,0,－,4989,104,437,5
2022-03-09, 石川県,3538,156,156,0,Ⅱ／Ⅱ,494,494,0,32,4,4,4,0,Ⅱ／Ⅱ,41,41,0,10,81,0,Ⅱ／Ⅱ,970,970,0,8,0,Ⅱ／Ⅱ,0,0,－,2731,111,570,0
2022-03-09, 福井県 ,2246,120,120,0,５／５,292,441,100,27,5,3,3,0,５／５,24,24,0,13,143,0,２／５,425,575,0,25,0,５／５,0,100,0,1983,0,0,0
2022-03-09, 山梨県 ,1661,170,170,0,５／５,389,389,0,44,10,1,1,0,５／５,24,24,0,4,338,252,５／５,1135,1135,639,30,252,５／５,639,639,39,1079,71,74,0
2022-03-09, 長野県 ,4338,172,138,0,３／３,468,513,0,27,4,3,3,0,３／３,38,43,0,7,310,0,Ⅰ／Ⅰ,932,932,0,33,0,－,0,0,－,3640,0,216,0
2022-03-09, 岐阜県 ,4890,346,346,0,４／４,894,894,0,39,7,5,5,0,４／４,59,59,0,8,335,0,３／３,1932,1932,4,17,0,４／４,4,4,0,3352,4,857,21
2022-03-09, 静岡県,11176,350,259,0,３／３,593,616,0,42,3,4,4,0,３／３,51,59,0,7,249,0,３／３,1057,1057,0,24,0,３／３,75,75,0,10531,160,46,0
2022-03-09, 愛知県,33676,1576,1078,0,Ⅰ／Ⅱ,1888,1888,0,57,5,42,42,0,Ⅰ／Ⅱ,183,183,0,23,654,0,Ⅰ／Ⅱ,2209,2209,0,30,0,２／２,0,0,－,27104,567,4342,0
2022-03-09, 三重県 ,4588,182,182,0,Ⅱ／Ⅲ,534,551,10,33,4,7,7,0,Ⅱ／Ⅲ,52,56,0,13,143,0,３／３,665,665,0,22,0,Ⅱ／Ⅲ,10,10,0,4235,46,28,5
2022-03-09, 滋賀県,6829,510,281,0,Ⅰ／Ⅰ,500,503,30,56,7,4,4,0,Ⅰ／Ⅰ,52,52,0,8,178,0,Ⅰ／Ⅰ,677,677,0,26,0,Ⅰ／Ⅰ,30,30,0,6135,137,6,2
2022-03-09, 京都府 ,11993,521,521,0,２／２,924,924,110,56,4,53,53,0,２／２,171,171,0,31,182,0,１／１,1126,1126,0,16,0,２／２,110,110,0,11290,0,0,0
2022-03-09, 大阪府 ,77265,2791,2791,0,Ⅰ／Ⅰ,3838,4057,0,69,4,721,720,0,４／５,1189,1408,0,51,2417,27,６／７,9600,11446,150,21,87,Ⅰ／Ⅰ,1003,1191,7,48416,0,23581,0
2022-03-09, 兵庫県 ,26952,842,842,0,５／５,1529,1529,0,55,3,31,31,0,５／５,142,142,0,22,372,0,５／５,2411,2411,0,15,0,－,0,0,－,23090,0,2648,11
2022-03-09, 奈良県 ,13531,378,304,0,３／３,514,514,0,59,3,21,21,0,３／３,34,34,0,62,338,0,３／３,1083,1083,0,31,0,３／３,0,0,－,0,0,12815,9
2022-03-09, 和歌山県 ,1123,237,237,0,３／３,630,630,0,38,21,4,4,0,３／３,26,26,0,15,93,0,３／３,329,329,0,28,0,３／３,178,181,0,793,0,0,0
2022-03-09, 鳥取県,991,84,84,1,２／３,250,350,5,24,8,0,0,0,２／３,30,47,0,0,89,0,２／２,459,546,0,16,1,１／１,5,5,20,762,0,56,56
2022-03-09, 島根県,953,125,125,0,５／５,320,368,0,34,13,0,0,0,５／５,5,28,0,0,56,0,５／５,133,133,0,42,0,－,0,0,－,572,0,200,9
2022-03-09, 岡山県,4347,258,228,0,４／４,537,554,0,41,6,5,5,0,３／４,51,68,0,7,125,0,２／３,373,629,0,20,0,２／４,0,5,0,3790,38,174,0
2022-03-09, 広島県,7801,599,286,2,Ⅰ／Ⅱ,785,820,56,35,8,8,8,0,Ⅰ／Ⅱ,58,58,0,14,405,0,Ⅰ／Ⅰ,2334,2334,0,17,2,Ⅰ／Ⅱ,19,56,4,5041,355,1756,0
