日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2022-03-09, 山口県,2813,224,224,0,４／４,591,591,0,38,8,3,3,0,４／４,47,47,0,6,209,0,４／４,830,830,0,25,0,４／４,0,0,－,2080,240,300,0
2022-03-09, 徳島県,1793,82,82,0,４／５,234,263,22,31,5,5,5,0,４／５,25,25,0,20,175,0,５／５,500,500,0,35,0,４／５,0,22,0,1536,0,0,0
2022-03-09, 香川県,3178,361,102,0,３／３,264,266,0,38,11,8,8,0,３／３,30,30,0,27,185,0,２／２,474,474,0,39,0,３／３,0,0,－,1796,11,836,0
2022-03-09, 愛媛県 ,2404,87,87,0,３／３,270,270,0,32,4,4,4,0,３／３,19,19,0,21,86,0,３／３,263,263,67,33,0,３／３,67,67,0,2130,51,101,0
2022-03-09, 高知県 ,1958,99,93,0,５／５,255,255,0,36,5,4,2,0,５／５,24,24,0,8,158,0,５／５,418,418,0,38,4,５／５,12,12,33,1681,80,16,5
2022-03-09, 福岡県,30742,1345,804,0,５／５,1626,1626,0,49,4,18,18,0,５／５,206,206,0,9,835,0,４／４,2468,2468,19,34,0,１／２,19,69,0,27109,203,1453,0
2022-03-09, 佐賀県 ,2904,211,166,0,４／５,496,560,50,30,7,2,2,0,３／５,14,48,0,4,286,0,３／４,615,615,0,47,0,４／５,50,50,0,2407,15,0,0
2022-03-09, 長崎県,3817,184,125,0,Ⅰ／Ⅱ,483,516,0,24,5,3,3,0,Ⅰ／Ⅱ,40,40,0,8,219,0,Ⅰ／Ⅱ,900,920,20,24,0,Ⅰ／Ⅱ,20,20,0,3058,6,356,0
2022-03-09, 熊本県,6000,414,326,0,Ⅱ／Ⅱ,825,825,0,40,7,9,9,0,Ⅱ／Ⅱ,68,68,0,13,317,0,Ⅱ／Ⅱ,1335,1335,0,24,0,－,0,0,－,4436,25,833,82
2022-03-09, 大分県,2126,155,155,0,３／４,415,508,0,31,7,1,1,0,３／４,34,43,0,2,530,0,３／４,1360,1360,209,39,0,３／４,79,209,0,1426,39,15,15
2022-03-09, 宮崎県,1790,115,115,0,２／２,289,289,0,40,6,0,0,0,１／２,15,15,0,0,86,0,Ⅰ／Ⅰ,510,510,10,17,0,Ⅰ／Ⅰ,10,10,0,1249,37,340,0
2022-03-09, 鹿児島県 ,3200,369,255,0,４／４,563,563,0,45,12,2,2,0,４／４,33,33,0,6,686,0,４／４,1710,1757,47,39,0,１／４,0,57,0,0,0,2145,0
2022-03-09, 沖縄県,6352,249,249,0,５／５,628,628,0,40,4,17,17,0,５／５,60,60,0,28,589,0,５／５,1230,1230,50,48,0,５／５,50,50,0,4837,0,677,0
2022-03-09,合計,592448,24191,20533,151,,42545,44818,1340,,,1798,1794,0,,5450,5943,0,,19491,289,,69324,73516,1516,,594,,4987,6148,,427355,5286,121257,573
