日付,都道府県名,（１）療養者数（注１）,（２）①-1入院者数,（２）①-2うち、確保病床に入院している者数,（２）①-3うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している者数,病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,入院率（注６）,（２）②-1うち重症者数,（２）②-2うち、確保病床に入院している重症者数,（２）②-３うち、確保病床に位置付けられた臨時の医療施設･入院待機施設に入院している重症者数,うち重症者用病床数現フェーズ／最終フェーズ（注２）,即応病床数(注３),確保病床数（注４）,うち、確保病床に位置付けられた臨時の医療施設・入院待機施設の病床数,確保病床使用率（注５）,（３）①ｰ1宿泊療養者数,（３）①ｰ2うち、確保居室に位置付けられた臨時の医療施設･入院待機施設に宿泊している者数,居室数現フェーズ／最終フェーズ（注２）,即応居室数(注7),確保居室数（注8）,うち、確保居室に位置付けられた臨時の医療施設･入院待機施設の居室数,確保居室使用率（注9）,（４）臨時の医療施設･入院待機施設療養者数（再掲含む）（注10）,定員数現フェーズ／最終フェーズ（注２､11）,即応定員数（注12）,確保定員数（注13）,確保定員使用率（注14）,（５）①-1自宅療養者等数,（５）①-2うち、社会福祉施設等療養者数,（６）①-1療養先調整中の人数（注15）,（６）①-2うち、入院先調整中の人数(注16)
2022-06-22, 北海道,6788,252,194,0,２／３,1749,2212,0,9,4,3,3,0,２／３,108,140,0,2,129,0,２／３,2085,2215,0,6,0,２／３,56,56,0,6181,117,226,0
2022-06-22, 青森県,1558,124,107,0,３／５,445,457,0,23,8,2,2,0,１／５,31,31,0,6,34,0,３／５,890,890,0,4,0,－,0,0,－,1015,18,385,0
2022-06-22, 岩手県,960,22,22,0,２／２,325,325,0,7,2,0,0,0,２／２,31,34,0,0,22,0,２／２,280,280,0,8,0,－,0,0,－,916,25,0,0
2022-06-22, 宮城県 ,1802,73,44,0,Ⅰ／Ⅰ,527,527,0,8,4,0,0,0,Ⅰ／Ⅰ,55,55,0,0,279,0,Ⅰ／Ⅰ,1950,1950,0,14,0,－,0,0,－,1195,0,255,0
2022-06-22, 秋田県 ,676,25,23,0,６／６,289,289,0,8,4,0,0,0,６／６,24,24,0,0,27,0,６／６,415,415,0,7,0,－,0,0,－,592,50,32,0
2022-06-22, 山形県 ,633,20,20,0,４／４,226,245,0,8,3,0,0,0,４／４,26,26,0,0,20,0,４／４,348,348,0,6,0,４／４,0,0,－,590,0,3,0
2022-06-22, 福島県 ,1086,57,56,0,３／３,751,751,8,7,5,0,0,0,３／３,47,47,0,0,99,0,３／３,1547,1547,0,6,0,３／３,16,24,0,881,0,49,0
2022-06-22, 茨城県 ,1269,40,40,0,１／４,300,609,0,7,3,0,0,0,１／４,30,72,0,0,102,0,３／５,1041,2600,0,4,0,１／４,0,0,－,1127,29,0,0
2022-06-22, 栃木県,965,46,46,1,１／３,399,591,33,8,5,0,0,0,１／３,22,46,0,0,81,0,１／３,755,1050,0,8,1,１／３,33,33,3,838,9,0,0
2022-06-22, 群馬県,1146,60,56,0,２／４,424,629,0,9,5,0,0,0,１／４,13,37,0,0,132,0,４／６,1073,1727,0,8,0,２／４,0,6,0,954,60,0,0
2022-06-22, 埼玉県 ,4793,180,180,0,３／４,1311,1827,130,10,4,1,1,0,３／４,150,191,0,1,167,0,４／４,2114,2122,8,8,0,４／４,8,138,0,3923,0,523,0
2022-06-22, 千葉県 ,3210,119,97,2,１／２,1135,1564,206,6,4,1,1,0,１／２,85,124,0,1,126,0,１／２,1466,1956,3,6,2,１／２,51,209,1,2883,0,82,0
2022-06-22, 東京都 ,17212,614,612,8,１／２,4813,7179,217,9,4,132,132,0,１／２,740,1007,0,13,1093,11,１／２,6190,8580,290,13,57,１／２,1304,1450,4,11386,79,4081,49
2022-06-22, 神奈川県,6369,183,183,10,１／４,1238,2100,143,9,3,3,3,0,１／４,109,210,0,1,163,0,１／１,2291,2291,0,7,10,１／４,78,143,7,6008,45,15,0
2022-06-22, 新潟県,905,19,19,0,３／４,577,664,0,3,2,0,0,0,３／４,112,112,0,0,17,0,３／３,300,357,0,5,0,３／３,10,10,0,869,2,0,0
2022-06-22, 富山県 ,1301,52,38,0,１／３,111,481,0,8,4,0,0,0,１／３,12,36,0,0,87,0,１／３,760,760,0,11,0,１／３,0,0,－,1043,0,119,0
2022-06-22, 石川県,1216,42,42,0,Ⅰ／Ⅱ,410,410,0,10,3,0,0,0,Ⅰ／Ⅱ,37,37,0,0,15,0,Ⅰ／Ⅱ,630,630,0,2,0,Ⅰ／Ⅱ,0,0,－,937,25,222,0
2022-06-22, 福井県 ,898,25,25,0,２／５,161,441,100,6,3,0,0,0,２／５,13,24,0,0,109,0,２／５,425,575,0,19,0,２／５,0,100,0,764,0,0,0
2022-06-22, 山梨県 ,383,38,38,0,３／５,225,389,0,10,10,0,0,0,３／５,19,24,0,0,103,92,３／５,1135,1135,639,9,92,３／５,639,639,14,231,0,11,0
2022-06-22, 長野県 ,951,44,39,0,２／３,394,520,0,8,5,0,0,0,２／３,38,43,0,0,80,0,２／３,806,806,0,10,0,－,0,0,－,787,10,40,0
2022-06-22, 岐阜県 ,1670,120,96,0,２／４,398,894,0,11,7,0,0,0,２／４,55,59,0,0,143,0,２／３,1932,1932,4,7,0,２／４,4,4,0,1161,20,246,4
2022-06-22, 静岡県,2021,48,43,0,３／３,616,644,0,7,2,0,0,0,３／３,52,60,0,0,56,0,３／３,958,958,0,6,0,３／３,0,75,0,1915,10,2,0
2022-06-22, 愛知県,7914,188,121,0,１／２,1214,1723,0,7,2,2,2,0,１／２,139,172,0,1,255,0,１／２,2224,2224,0,11,0,１／２,0,0,－,6382,115,1089,0
2022-06-22, 三重県 ,1245,56,54,0,３／３,463,463,0,12,4,1,1,0,３／３,50,50,0,2,52,0,３／３,682,682,0,8,0,３／３,0,0,－,1126,18,11,2
2022-06-22, 滋賀県,1238,62,45,0,Ⅰ／Ⅰ,500,503,30,9,5,0,0,0,Ⅰ／Ⅰ,52,52,0,0,59,0,Ⅰ／Ⅰ,630,630,0,9,0,Ⅰ／Ⅰ,30,30,0,1116,4,1,1
2022-06-22, 京都府 ,2643,76,76,0,２／２,960,960,110,8,3,0,0,0,２／２,171,171,0,0,88,0,１／１,1126,1126,0,8,0,２／２,110,110,0,2479,0,0,0
2022-06-22, 大阪府 ,11605,531,531,0,１／５,2678,4130,0,13,5,120,120,0,１／５,1119,1471,0,8,593,12,４／７,5063,11216,150,5,12,Ⅰ／Ⅰ,156,191,6,8610,0,1871,0
2022-06-22, 兵庫県 ,4763,160,160,0,３／５,1000,1529,0,10,3,4,4,0,３／５,100,142,0,3,105,0,３／５,1500,2411,0,4,0,－,0,0,－,4149,0,349,0
2022-06-22, 奈良県 ,1162,28,28,0,２／３,397,522,0,5,2,2,2,0,２／３,27,36,0,6,74,0,２／３,1083,1083,0,7,0,２／３,0,0,－,0,0,1060,0
2022-06-22, 和歌山県 ,436,47,47,0,３／３,588,588,0,8,11,0,0,0,３／３,26,26,0,0,34,0,３／３,178,178,0,19,0,３／３,178,181,0,355,0,0,0
2022-06-22, 鳥取県,296,12,12,0,２／３,244,350,5,3,4,0,0,0,２／３,30,47,0,0,39,0,２／２,459,459,0,8,0,１／１,5,5,0,228,0,17,17
2022-06-22, 島根県,495,50,50,0,５／５,274,371,0,13,10,0,0,0,５／５,5,28,0,0,18,0,５／５,133,133,0,14,0,－,0,0,－,254,0,173,2
2022-06-22, 岡山県,1557,57,53,0,３／４,488,554,0,10,4,1,1,0,２／４,37,68,0,1,54,0,２／３,373,629,0,9,0,２／４,0,5,0,1338,10,108,4
2022-06-22, 広島県,3135,174,79,1,３／４,509,583,19,14,6,0,0,0,３／４,35,45,0,0,203,0,３／４,1761,2334,0,9,1,３／４,19,19,5,2478,108,280,0
2022-06-22, 山口県,1088,73,73,0,３／４,449,595,0,12,7,0,0,0,３／４,23,47,0,0,52,0,３／４,830,830,0,6,0,３／４,0,0,－,903,38,60,0
2022-06-22, 徳島県,672,23,23,0,２／５,142,263,22,9,3,0,0,0,２／５,6,25,0,0,55,0,５／５,500,500,0,11,0,２／５,0,22,0,594,0,0,0
2022-06-22, 香川県,624,21,19,0,３／３,271,271,0,7,3,0,0,0,３／３,30,30,0,0,38,0,２／２,474,474,0,8,0,３／３,0,0,－,484,5,81,0
2022-06-22, 愛媛県 ,1213,47,33,0,３／３,307,307,0,11,4,1,1,0,３／３,19,19,0,5,39,0,３／３,263,263,67,15,0,３／３,67,67,0,1116,25,11,0
2022-06-22, 高知県 ,1087,48,43,0,５／５,271,271,0,16,4,0,0,0,５／５,24,24,0,0,66,0,５／５,418,418,0,16,0,－,0,0,－,963,40,10,3
2022-06-22, 福岡県,5574,226,188,0,３／５,859,1681,0,11,4,0,0,0,３／５,117,217,0,0,299,0,４／４,2468,2468,19,12,0,１／２,19,69,0,4761,17,288,0
2022-06-22, 佐賀県 ,1261,55,52,0,２／５,240,572,50,9,4,0,0,0,１／５,3,48,0,0,86,0,２／４,615,615,0,14,0,２／５,50,50,0,1120,8,0,0
2022-06-22, 長崎県,2123,53,50,0,３／４,281,451,0,11,2,0,0,0,３／４,21,36,0,0,92,0,３／４,900,900,0,10,0,３／４,0,0,－,1872,0,106,0
2022-06-22, 熊本県,3530,188,144,0,２／２,705,705,0,20,5,1,1,0,２／２,53,53,0,2,270,0,２／２,1226,1226,0,22,0,－,0,0,－,2902,2,170,26
2022-06-22, 大分県,692,52,52,0,３／４,408,508,0,10,8,0,0,0,３／４,34,43,0,0,118,32,３／４,1090,1360,254,9,32,３／４,175,254,13,518,5,4,4
2022-06-22, 宮崎県,1275,19,19,0,２／２,306,306,0,6,1,1,1,0,２／２,15,15,0,7,39,0,３／３,500,500,0,8,0,３／３,0,0,－,1006,17,211,0
2022-06-22, 鹿児島県 ,2624,158,107,0,３／４,431,560,0,19,6,1,1,0,３／４,11,33,0,3,423,0,３／４,944,1812,47,23,0,１／４,0,57,0,0,0,2043,0
2022-06-22, 沖縄県,9771,255,255,0,５／５,631,631,0,40,3,6,6,0,５／５,60,60,0,10,536,0,５／５,1280,1280,100,42,0,５／５,100,100,0,7911,0,1069,0
2022-06-22,合計,125835,4862,4334,22,,31440,43145,1073,,,282,282,0,,4016,5397,0,,6771,147,,56111,70875,1581,,207,,3108,4047,,98861,911,15303,112
