,年,月,url
67,2017,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031627035&fileKind=0
68,2017,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031637655&fileKind=0
69,2017,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031645051&fileKind=0
70,2017,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031657588&fileKind=0
71,2017,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031669855&fileKind=0
72,2017,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031676175&fileKind=0
73,2017,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031685202&fileKind=0
74,2017,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031730100&fileKind=0
75,2016,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031428463&fileKind=0
76,2016,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031430303&fileKind=0
77,2016,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031436555&fileKind=0
78,2016,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031448115&fileKind=0
79,2016,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031457795&fileKind=0
80,2016,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031474335&fileKind=0
81,2016,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031500436&fileKind=0
82,2016,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031517215&fileKind=0
83,2016,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031528176&fileKind=0
84,2016,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031547644&fileKind=0
85,2016,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031557515&fileKind=0
86,2016,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031591735&fileKind=0
87,2015,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000030434808&fileKind=0
88,2015,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000030561433&fileKind=0
89,2015,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000030762852&fileKind=0
90,2015,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031255325&fileKind=0
91,2015,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031318433&fileKind=0
92,2015,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031325501&fileKind=0
93,2015,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031340878&fileKind=0
94,2015,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031356638&fileKind=0
95,2015,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031361259&fileKind=0
96,2015,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031375361&fileKind=0
97,2015,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031398361&fileKind=0
98,2015,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031427081&fileKind=0
99,2014,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000025961688&fileKind=0
100,2014,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000026222792&fileKind=0
101,2014,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000026510058&fileKind=0
102,2014,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027229335&fileKind=0
103,2014,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027234992&fileKind=0
104,2014,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027242261&fileKind=0
105,2014,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027248843&fileKind=0
106,2014,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000027669845&fileKind=0
107,2014,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000028092917&fileKind=0
108,2014,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000028563281&fileKind=0
109,2014,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000028978113&fileKind=0
110,2014,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000030268330&fileKind=0
111,2013,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000021424709&fileKind=0
112,2013,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000021723769&fileKind=0
113,2013,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000021831378&fileKind=0
114,2013,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000022091983&fileKind=0
115,2013,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023342064&fileKind=0
116,2013,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023600023&fileKind=0
117,2013,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023603723&fileKind=0
118,2013,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023611642&fileKind=0
119,2013,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023617647&fileKind=0
120,2013,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023625329&fileKind=0
121,2013,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000023831156&fileKind=0
122,2013,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000025672783&fileKind=0
123,2012,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000013759913&fileKind=0
124,2012,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000014194806&fileKind=0
125,2012,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000014493131&fileKind=0
126,2012,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000014892110&fileKind=0
127,2012,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000014901875&fileKind=0
128,2012,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000014909684&fileKind=0
129,2012,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000017518088&fileKind=0
130,2012,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000018724809&fileKind=0
131,2012,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000018946413&fileKind=0
132,2012,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000019926614&fileKind=0
133,2012,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000020404306&fileKind=0
134,2012,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000021286170&fileKind=0
135,2011,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000010398899&fileKind=0
136,2011,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000010700442&fileKind=0
137,2011,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000011080657&fileKind=0
138,2011,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000012194968&fileKind=0
139,2011,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000012449148&fileKind=0
140,2011,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000012465482&fileKind=0
141,2011,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000012660976&fileKind=0
142,2011,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000012668299&fileKind=0
143,2011,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000012679460&fileKind=0
144,2011,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000012793430&fileKind=0
145,2011,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000012903218&fileKind=0
146,2011,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000013196509&fileKind=0
147,2010,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007731407&fileKind=0
148,2010,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007736165&fileKind=0
149,2010,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007756481&fileKind=0
150,2010,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000008187833&fileKind=0
151,2010,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000008211101&fileKind=0
152,2010,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000008248324&fileKind=0
153,2010,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000008282040&fileKind=0
154,2010,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000008406730&fileKind=0
155,2010,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000008622575&fileKind=0
156,2010,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000008640450&fileKind=0
157,2010,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000008874020&fileKind=0
158,2010,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000010090104&fileKind=0
159,2009,1,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368588&fileKind=0
160,2009,2,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368605&fileKind=0
161,2009,3,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368622&fileKind=0
162,2009,4,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368638&fileKind=0
163,2009,5,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368654&fileKind=0
164,2009,6,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368670&fileKind=0
165,2009,7,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368686&fileKind=0
166,2009,8,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368702&fileKind=0
167,2009,9,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007368718&fileKind=0
168,2009,10,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007375795&fileKind=0
169,2009,11,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007529234&fileKind=0
170,2009,12,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000007712537&fileKind=0
